stars,month,year,sentiment,review
3.0,January,2024,positive,ok type product from colgateok type product from colgateok type product from colgate
1.0,December,2023,negative,Too costly and burns mouth
3.0,December,2023,positive,Quality is so good easy to use But price is more
5.0,November,2023,positive,Just okay
2.0,November,2023,negative,Not so good product. Order judicially
5.0,November,2023,positive,"I am using this product from past 3 months, it's very effective. I had bad breath but it's in control now. Highly recommended if you have any issues related to teeth."
2.0,November,2023,positive,Bad
3.0,November,2023,positive,It ok it gives nice breeth
2.0,October,2023,positive,Costly
1.0,October,2023,negative,I don't know how are people even giving it good reviews. I couldn't believe Colgate would put out a product so bad. The bitter aftertaste was just horrendous.
