stars,month,year,sentiment,review
5.0,February,2024,positive,Jay ShrikrishnaReally useful. Good taste. Use at night help reduce teeth problem. Lingering smell is nice for sleep. Must buy item.
1.0,February,2024,negative,"It has glycerine(alcohol substance), Propylene Glycol (alcohol substance), Benzyl AlcoholWhy fool people by saying ""No Alcohol"" Utter nonsense"
2.0,January,2024,negative,Says  alcohol free mouth wash which it isn't. please read ingredients  it has alochol and other harsh ingredients
1.0,January,2024,positive,Tastes awful
5.0,January,2024,positive,Good mouthwash with nice smell and taste no burning sensation
2.0,December,2023,negative,"This will make you feel nauseated, very strong smell🤢"
5.0,December,2023,positive,Every day night I used before sleep
1.0,December,2023,negative,Saunf and mint flavor is best but this Miswak flavor is too bad its like Indian Gutkha's smell. Will neither buy nor recommend...
2.0,November,2023,neutral,"It tastes like tabacco.Doesn't feel refreshened.Better to try Hiora, same Himalaya brand."
5.0,November,2023,positive,"very nice flavour, no burning, long lasting freshness."
