stars,month,year,sentiment,review
5.0,February,2024,positive,LikesThis toothbrush is awesomeCompactComfortableSoftLong lastingQuality Product
4.0,February,2024,positive,Good Product
5.0,February,2024,positive,2 nd orderVery nice tooth brush 🪥
5.0,February,2024,positive,Good quality
5.0,January,2024,positive,very good. must buy
5.0,January,2024,negative,Soft brisles
5.0,January,2024,positive,Soft
4.0,January,2024,positive,Good. ease to use. Value for money.
5.0,January,2024,positive,Best product at this price
5.0,January,2024,positive,Excellent product...
