stars,month,year,sentiment,review
5.0,February,2024,positive,Good quality
5.0,February,2024,positive,Good quality and soft on teeth. Overall good product.
1.0,February,2024,negative,Hard to brush your teeth
5.0,February,2024,negative,Great brush for sensitive teeth
4.0,January,2024,positive,Soft and appropriate sizeUseful.
1.0,January,2024,positive,Very hard to brush
5.0,January,2024,positive,"Good brush, nice"
4.0,December,2023,positive,Good
5.0,November,2023,positive,good one
1.0,November,2023,negative,It's mentioned as extra soft but it's like a steel brush. I got bruises in my mouth. Worst ever toothbrush I have ever bought.
