stars,month,year,sentiment,review
5.0,February,2024,positive,Great quality toothbrush
5.0,February,2024,positive,Like
5.0,February,2024,positive,Good product value for money
2.0,February,2024,positive,"The product is good but delivery is not, one  item was missing."
4.0,February,2024,positive,Very good
5.0,February,2024,positive,Brush is to soft and I love it
5.0,February,2024,positive,must buy very very soft and comfortable. best out of best packing. very very fast blue dart delivery
5.0,February,2024,positive,Theek h price ke hisab se soft bhi h thank you Amazon
4.0,January,2024,positive,Great product . I absolutely loved it
1.0,January,2024,negative,Don't Buy it . Duplicate product is  selling and you can't use it
