stars,month,year,sentiment,review
5.0,February,2024,neutral,Just go for this toothpaste without a second thought. You can save your dental expenses.
5.0,February,2024,positive,We should stop use of Colgate...Bentodent toothpaste is the best....chemical free.. sodium loreal sulfate free..  wow just wow....highly recommend..
3.0,January,2024,neutral,No feel like tooth paste ... feeling like manjan
1.0,January,2024,neutral,"The toothpaste is sub standard one, writing this review after 10 days of usage. Does not feel fresh after brushing, does not actually feel as if brushed or not. Not recommended, even the teeth does not get cleaned properly. Improvisation is needed."
5.0,January,2024,positive,If u r a Desi type then u will love it. It gives a very satisfying feeling of not using any chemicals and still getting neat n clean teeth and hygienic mouth. Pamper urself with this tooth paste.
5.0,December,2023,positive,"Best, no complain"
5.0,December,2023,positive,"Popular brand's including so called natural Ayurvedic brand's toothpastes and so called safe for child toothpastes contains preservative, coloring agent, foaming agent, artificial flavor, SLS, fluoride, glycerine etc. forget about kids its harmful for adults also."
3.0,November,2023,negative,Not good as charcoal.
4.0,November,2023,positive,Taste is good | Quality is good | less foam produce | chemical free |
1.0,November,2023,positive,Taste is good but it requires in large quantity and its non foaming toothpaste
