stars,month,year,sentiment,review
5.0,February,2024,positive,Good
4.0,February,2024,positive,Good
5.0,January,2024,positive,Excellent
3.0,January,2024,positive,Ok
4.0,January,2024,positive,I like it
3.0,January,2024,positive,Nice
4.0,January,2024,positive,Nice.....prodact
5.0,January,2024,positive,Better then any gel mouthwash as it’s trusted brand and trusted product which come in today’s modern form. Thank you for charging it from m powder to gel as since child I love its mouth wash effect but powder was difficult to use
3.0,January,2024,positive,Good paste which does not leave a sweet smell or taste in your mouth after brushing but it is very effective one
4.0,January,2024,positive,Nice
