stars,month,year,sentiment,review
5.0,February,2024,positive,Very good *****
5.0,January,2024,positive,Good one works well
5.0,January,2024,positive,Best toothpaste at competitive rates..👍
1.0,January,2024,neutral,"I don't like it more in future. It is not original,  it is duplicate."
4.0,January,2024,positive,Working as expected.Quick relief
5.0,January,2024,positive,Excellent
5.0,December,2023,positive,Good
4.0,December,2023,positive,Useful item. Must buy.
1.0,December,2023,positive,Worst quality and price very high
3.0,November,2023,negative,"Bought for super sensitive teeth, but it still stings a bit. Could not find the Sentim potassium nitrate and sodium chloride toothpaste, so bought this. I would say Sentim is better if you have super sensitive teeth."
