Stars,Month,Year,Sentiment_label,Review_text
3.0,December,2023,negative,"The nostle  push in /out button is stuck after 4 months of  usage. I bought  with one year  extended warranty. Please  suggest how to return  , get repaired or  get replacement."
3.0,November,2023,negative,"Hi team,My oracura water floss, which was working so good, But now it's water pressure has reduced. Can you please help what s wrong? Is there any warranty ? Is there any battery i can replace it with?Please help"
3.0,October,2023,positive,This smart flosser helps me to keep a good dental health and remove debris as i have braces on.
3.0,August,2023,negative,"The device helps clean teeth but the water flow even in soft mode is a bit harsh. This causes senstive gums to bleed. Even in non-pulsating mode, it comes in pulses. Perhaps a finer nozzle may help."
3.0,August,2023,positive,
3.0,October,2022,negative,"The ORACURA OC001 model comes with a case, which is probably only useful for travel as the tip needs to dismantled the tip to fit.It works well, not sure if it can replace manual flossing. The water jet power may take some practice to get used to.The USB  cable comes with a nonstandard connector ( not the usual micro USB/C found in phones), so make sure you don’t lose the cable!A few issues to note:1) Has a non-removable battery2) Only a press button ON-OFF, easily turns on by accidental touch. I don't know how to pack this for travel without it turning on by itself (unless enclosed in the case)3) As mentioned, a non-standard USB charging cable, if lost would make the product uselessThe product is decent, but it looks like it was designed by some one who has no product design experience (or practical/common-sense). Hope they fix these issues in future (a long shot as they are unlikely to read this review!)."
1.0,January,2024,negative,This was the worst product i bought on amazon  The pressure is so high. My gums started to bleed.  I tried all the heads. No use. It does nothing. There is no return policy after shelling out so much money.  Provably this can be used for holi. For spraying colored water.Bad experince
3.0,February,2024,positive,good product recommend it to everyone. good good good good good good good good good good good good good good good good good good good and good.
3.0,February,2024,positive,The implant tip needs better designing for greater access. Please kindly look into it so that other customers are not inconvenienced
3.0,June,2016,positive,"This is my second oral irrigations system. Oral irrigators are best cleaning procedure for interdental cleaning and it not only cleans up the mouth but also removes problems like bad bredth, tooth decay etc which arise out of decomposition of lodged food particles which normally remain even after a thorough brushing. They also help in reducing tooth enamel loss which is normally caused by tooth brushes leading to teeth sensitivity. Hence I use tooth brush only for few seconds lightly followed by a oral irrigator such as water pic.My first system was a water pic which was purchased from the authorized dealer from Mumbai via post (it was not available online). The water pic lasted for about 3 years and ultimately its pump broke and hence as an urgent replacement I bought the smart flosser.Oral Care smart flosser reviewPROS:Handy, battery operated which can be recharged and lasts for about 10+ days during initial days. Do not know how it will perform after 3-6 monthsIt can be carried around during travel, compact and handy.Does reasonably good cleaningCONS:Water reservoir is smaller compared to water pic which has a separate 500 ml tankDifficult to reach the underside of the teeth specially the lower jaw since it needs to be kept upright in order for it to receive water which is picked by a tube reaching to the bottom of its tiny reservoir. For reaching lower jaw underside you have to tilt it which makes the job tough.It is made in china but finish is very good so the quality can be trusted but not aware what to do when battery runs out.VERDICTIf you wish to go for a good oral irrigator then go for Water Pic which is more sturdy, has a flexible nozzle with a tube connecting to pump and reservoir. However if you have a water pic already and are always on the move you can go for oral care which is compact and useful with its limitations as mentioned above"
3.0,May,2023,positive,"It was repackaged but I tried it was working fine, so kept it.There are 3 modes normal soft and pulse, even soft mode is too strong, should have been more soft range in this one."
3.0,July,2023,positive,Useful for best floss result.Needs practice to get best result
2.0,September,2023,negative,I dis not get any relief ( from gum pain) for which it was prescribed by the dentist. One has to fill water everything you want to use. Ease of Assembly was OK and storage too. The main concern is of its oral benefits are doubtful.
3.0,April,2023,positive,Product is good but between high intensity and low they should be a middle one as well. Becuase high intesity is too high and low is to low
1.0,February,2024,negative,"The most useless product. Neither it will remove food particles, nor anything. Forget about tartar."
2.0,November,2023,positive,
1.0,February,2024,negative,worst product
3.0,November,2021,positive,"You need to hold the tip of the nossle close to your teeth and close your mouth while using it, else water will splash on your dress, bathroom/washbasin tiles, mirror and even spectacles. If you spray on your lips by mistake it will hurt, even in soft mode.Would have been good if the nossle length was more at the 90 degree bend so that water does not fall on the equipment. Good thing the equipment is water resistant. But have to wash it after use, else will stink of saliva.The on off button to control equipment should have been on one side and the other mode buttons at the bottom, so that we do not press it by mistake while cleaning.Would have been good if the product could fit in travel box with the power port gaurd on it. Very hard to remove and close it when needed.Good product otherwise, great idea"
2.0,October,2023,negative,The water leaks out from several points rendering the gadget useless. Not worth wasting money on.
3.0,November,2022,negative,"As it claims deep cleansing, I am using it every week but still I can see durt accumated at inner side of my teeth. Also this is little difficult to use as you need to hold mirror at one hand and use it.I would rather go to clinic once in a six month."
2.0,August,2023,negative,Purchased in August 2022 less than 1 year ago and started giving problems since a weekTried to charge several times but it seems to stop charging within 2 minutes or so after which it runs for barely 1 minute againWarranty is supposed to be for 18 months !!
1.0,January,2024,neutral,"I have bought in sep now its not charging, don't know how to cover warranty"
3.0,March,2023,positive,Force is good but not constant. There is a nominal interval in between. The lower body has a scratch sign suggestive of that piece is used before.
3.0,January,2024,negative,"No doubt the flosser is very handy,But the water pressure is too low and doesn’t provide good clean and the water tank is too small.Due to slow cleaning have to fill the water repeatedly.Might be good for kids, but not at all for adults"
3.0,January,2023,negative,I am unable to charge the equipment. It worked very well with initial charge with whatever charge it had at the time of purchase. Please do the needful.
1.0,November,2023,negative,"There are three modes like Normal, soft etc. and all function the same. In fact I showed it to a dentist today and found that the product I received has a defect because all the modes are giving the same pressure. It is hurting my teeth and gums"
3.0,October,2022,positive,Got this as a gift. Took a while to use it but have been using it for the last few days. A bit too early to post a full on review but it's been ok so far. Will update this review in a few weeks post usage.
2.0,May,2023,negative,"The slowest mode is the Soft mode. The speed of the water of that mode itself is way too high.Just switch on the flosser and see, you can spray in a straight line for almost 8-10 feet. There is no way, i will keep that high-speed water in my mouth. i have stopped using the flosser."
1.0,December,2023,positive,
3.0,September,2022,negative,"Everything went well until the first recharge. Charging is not staying after the first recharge. The device motor is working by itself when it is off and idle, which drains the battery. Not sure how to fix it now."
2.0,July,2023,negative,I find it hard to use this as the flow of water is so fast that it hurts the gums each time.
3.0,November,2022,negative,"Product stopped working after a few days and wouldn't charge. Since there is no return policy, it was a waste of money."
3.0,January,2023,positive,
1.0,December,2023,negative,Unable to charge it after 3-4 months
3.0,July,2022,positive,"Easy to use, handy, portable, well designed, 3 modes for your teeth type. Tank capacity is also good. Overall good product.. Battery life may he a problem after a few months of use"
1.0,November,2023,negative,Stopped working shortly after buying. So expensive and it didn't even last over a month. Not worth it
2.0,May,2023,negative,"The water jet is so powerful despite the many modes to use it on, that the whole experience ends up being quite u comfortable. And the water finishes up so quickly that you need to fill, each time after a single use. Also, you get quite drenched after all the squirts of water, so wearing clothing while doing this is not an option. Wish someone had told me all this prior to purchase…"
1.0,December,2023,negative,"Horrible battery, doesn't work properly even after charging for a day."
3.0,October,2022,negative,Bought it in October 2022 and stopped working early in May 2023...I see other reviews of the same kind.
3.0,December,2021,negative,"thr are only 3 speeds.. high speed can damage gums nd create small wounds..so switched to waterpik has 10 speeds. This Can use for emergency purpose, when u can't take waterpik that has cord nd need power supply."
2.0,March,2023,positive,The Battery ran out .not available any where .how it went out so early .help me to get a new battery
2.0,May,2023,negative,Product not charging after 8 months and it's difficult to figure out how will I avail warranty.
3.0,September,2021,positive,Might take some time to get used to how to use it correctly and at what pressure. However it’s a very useful product. Please be careful when using it at first… start with lower pressure and figure out which direction you want to use it and how far from the teeth.
3.0,October,2017,negative,"i bought it at the end of july 2017, used it couple of times in first 2 months. then on the 3rd month (19th october) was using it, and within a minute battery died, which is ok so I put in charge then after 15 minutes i saw it got started automatically while in the charge. so I pressed the button to stop it, and found out that button is too hot, so i unplugged it from charging and left it to cool down.then its no longer working. i tried to charge again, but i found out the buttons goes very hot after some time and the charging light no longer blinks, it stays on all the time, even after i disconnect it from charging. and its not starting anymore.Now i dont know what to do with it. its pretty costly to just throw it away after a month.Update: I called their customer care, and they sent me a replacement part. Good service"
1.0,December,2023,negative,Charger not working
1.0,October,2023,negative,It’s difficult for a first timer. Your guns will bleed if they are not 100% healthy with the force it’s get applies. Be careful.
