Stars,Month,Year,Sentiment_label,Review_text
1.0,December,2023,negative,"Only one month worked properly afterwards not working properly it is going on/off with out any attempt worst product no action taken for complaint no 101100,agent making calls but not attending physically to test the problemHe is asking invoice what is this if not invoice not traced is he not attended for checking problem great negligence"
3.0,December,2023,positive,The product is good but making a continous beep sound while using.
3.0,February,2024,positive,Good product but not comfortable to use
3.0,December,2023,positive,It's just an okayish product. It's way costly than it's competitors.
2.0,October,2023,negative,After using for two year now the water is leaking all over the place  How do I get this rectified ?
3.0,October,2021,negative,"My WaterPik pipe broke, and could not fix the pipe. so decided to replace.This is not a replacement for WaterPick. but for the price seems to be worth after initial issues.waterpik I could go upto setting 8 out of 10 but in this using more than 2 is not possible.so then I used waterpik nozzel into this then volla! worked like charm. now I am using setting 5 to get similar cleaning.Company has to carefully check design of the standard nozzle given with this product. compare with nozzle from waterpikanother issue is main switch, its difficult to press the button while doing flossing, waterpik its so easy.Overall its VFM at this moment"
3.0,July,2022,positive,To use it like a Doctor you need some practice. Easy to assemble. But Main Unit vibrate while in Use. Also makes noise.
3.0,December,2022,positive,Nice
2.0,February,2022,negative,"Bad quality product. The nozzle are designed so poorly. They have such a small hole that the jet also ruptures your gums. You can't even use it at speed of 1. Finally I had to replace it with a nozzle with one that I had from waterpik. That solved the nozzle issue, but the motor is bad too and it stutters."
2.0,February,2022,positive,
1.0,June,2023,negative,Not working. Water leakage from the base of jet and spireled water pipe. Not value for money. Also not able to return as its showing non refundable item. Feels cheated
1.0,July,2022,negative,Defective product shipped. No water coming out from the nozzle.Noisy motor indicates motor OK but no water get.but seems water leaking from the tank from the sideways of the unit?From leaflet it works for 2 minutes and auto shut OFF. Seems we must use for 2 minutes only and pack it.Twist pipe very short length and we have to place unit near the hand wash.Waste of money. I won't recommend to my friends.
1.0,February,2022,negative,We have received faulty product after purchased. It's not working . main battery problem when we charged it won't charged . We have to connect with the charger then only it starts but then too water is not coming out from the flosser.If anyone purchasing a new product it should be working . Should not send defective product as we are spending high amount for this product.
1.0,July,2023,positive,Buy the caresmith instead
1.0,November,2022,negative,Neither  efficient  nor  convenient  to use.Does not serve  its  main purpose  very well.Not  satisfied.  Wish I could  return the product.
1.0,October,2022,positive,
1.0,December,2022,negative,It’s not working properly. Water is not coming out with pressure at all. It just drips. Water is leaking out of machine.
2.0,March,2022,neutral,Product is not working😑
2.0,November,2021,positive,Very flimsy
1.0,August,2022,positive,The product is in a good shape but it's not working. May be some technical issue. Luckily it does have a warranty.
1.0,December,2021,negative,The package arrived without any attachments. Unfortunately I opened it late so could not return it. Very disappointed with the seller. He should send the attachments.It is a piece of junk for me.
1.0,January,2023,positive,Unreliable
1.0,May,2022,negative,இது அதிக சத்தம் மற்றும் அதிர்வுகளை உண்டாக்குகிறது. பயன்படுத்த ஏற்றது அல்ல.
1.0,June,2022,neutral,Not working waste of money
1.0,November,2021,neutral,Not clean my tooth
1.0,October,2021,negative,"The quality is really had, didn't work as expected. Made of cheap quality plastic. Bought it for my dentist brother on his birthday, and he told to return the product, due to its low pressure. Didn't expect this cheap brands from Amazon."
