Stars,Month,Year,Sentiment_label,Review_text
3.0,January,2024,positive,ok type product from colgateok type product from colgateok type product from colgate
3.0,December,2023,positive,Quality is so good easy to use But price is more
3.0,November,2023,positive,It ok it gives nice breeth
2.0,November,2023,negative,Not so good product. Order judicially
3.0,July,2023,positive,Its pretty standard in every way
2.0,November,2023,positive,Bad
2.0,October,2023,positive,Costly
1.0,December,2023,negative,Too costly and burns mouth
3.0,July,2022,positive,"Cool clove is better than Fresh mint. Instead of purchasing pack of 3, first purchase just 1 to see whether you are comfortable with it or not."
3.0,June,2021,negative,"I don't know why companies feel the need to add so much menthol or whatever it is that tingles and burns in mouthwash and toothpaste. It says ""Doesn't burn"" but it does. I've used Listerine in the past and that was horrible. This is much better but not ideal. It's still uncomfortable for me, burns my inner cheeks a bit and I can't wait for the 30 seconds to get over.Won't be repurchasing!!"
1.0,October,2023,negative,I don't know how are people even giving it good reviews. I couldn't believe Colgate would put out a product so bad. The bitter aftertaste was just horrendous.
3.0,December,2022,positive,A
2.0,January,2023,negative,The freshness as others have said is not that good on top of that it leaves a very bitter taste in your mouth which doesn't go away even after gargling a few times. It's just better to go with Listerine in my opinion
3.0,July,2021,neutral,"1. Not as strong as listrien, that doesn’t mean I am saying to buy listrien.2. Mild and doesn’t feel much difference.3. I changed from listrien to this because of some offer but again switching back to listrien."
3.0,October,2022,positive,Hi
3.0,November,2020,neutral,"Only thing I didn't like about it at first was It's sweet taste.  Tastes better after dilution with water.It's alcohol free, no burning sensation. Freshness and after taste for 1-2hr.Have been using it for few months now twice a day and still almost half of bottle is remaining."
3.0,June,2021,negative,"I bought this since it is alcohol-free. But I didn't like the taste much. Listerine tastes better but has alcohol. Also, this got done very fast. I will probably not purchase this again."
3.0,November,2021,negative,Flavourful mouthwash but the label says freshness lasts 10 times longer which is a big fat lie.
1.0,August,2023,negative,Item is damaged and also near to expire date. Item also very dirty
3.0,February,2022,positive,It's alright for daily use
1.0,August,2023,positive,
2.0,January,2023,neutral,Costly and not as expected
1.0,August,2023,positive,
3.0,September,2021,neutral,Not feeling like freshness
3.0,August,2019,negative,The mouthwash has centre fresh like taste but tje problem is it is not effective for longer duration of time.Also it gets used up too quickly.not really recommended.
3.0,July,2021,positive,Feel fresh after use it
3.0,May,2020,positive,"The flavour is ok, freshness lasts for only one hour if you don't consume any food"
3.0,April,2021,neutral,not as strong as Listerine
3.0,December,2019,positive,I think you should give all three bottles  in different flavours thtz the better thng....
3.0,October,2020,negative,"Decent in Freshness, bad breath control and longevity."
3.0,September,2020,positive,Too costly and freshness is only for 2 -3 hours.
3.0,July,2020,negative,Burning sensation is definitely there. Nothing great about the product.
1.0,May,2023,negative,It is very mild not at all feeling fresh
3.0,May,2021,positive,👍
3.0,July,2019,neutral,"Its doesn't cause a burning sensation, unlike listrineBut according to me the freshness doesn't last for long, around 3-4 hours max."
2.0,March,2021,negative,"Taste so bad, ab 3 pack le lia h use to krna pdega. Don’t take 3 pack take 1 and if it suits you then take 3 or 10 pack whichever you want. But personally I didn’t liked it at all."
3.0,September,2020,positive,"OK, worth for mony"
3.0,August,2019,positive,"OH! Yes It is our exception, good dealWe got it 127 only."
3.0,July,2019,negative,Good product. But taste of flavour is bad. Try green flavored .
3.0,March,2020,negative,An okay product taste not that great
3.0,October,2018,positive,Get the Peppermint Splash over this. Much better flavor. This one is not too minty. I prefer mine ice cold!
1.0,August,2022,negative,I developed mouth ulcers after using it for 5-6 days. And got bleeding. They must be using alcohol in it which I think damaged my cheek tisssues from within. Don't use this. Use homemade product. I regret buying it.
1.0,March,2022,negative,Colgate Max Plax is worst mouthwash ever as it contains Cetylpyridinium chloride which causes brown stains on your teeth. Don't ever buy it. I have experienced brown staining of my teeth due to this mouthwash. Several dentists also advised me against using this specific mouthwash.
1.0,March,2023,neutral,Not the value product loss of money
3.0,September,2017,neutral,"This product has no class in comparison to it's international version. Disappointed. Doesn't create that clean taste in the mouth, nor does the aftertaste last very long. Will not prevent bad breath."
3.0,October,2020,positive,Like it
3.0,March,2018,negative,One of the 3 bottles I ordered this time had its seal loose. Hence it leaked a little & the inside of the wrap box was a little sticky
3.0,May,2020,positive,Good
1.0,December,2022,negative,"Got the damaged bottle.It was wrapped with cello tape to hide this, and still it was leaking."
3.0,December,2019,negative,Full bottle of diluted liquid at low price.
2.0,November,2021,positive,"Sweet flavor, go for strong"
1.0,December,2022,positive,I ordered 2 but I got one damaged (used) while the other was in good condition
3.0,March,2020,positive,Good
3.0,October,2019,positive,Freshness work only for 3 to 4 hour
2.0,July,2021,negative,Came with a broken seal.
3.0,January,2020,positive,Good
3.0,December,2019,positive,Freshness
3.0,June,2019,neutral,I didn’t like the flavour.
1.0,February,2023,positive,Bad taste old product
3.0,November,2019,positive,Good
3.0,August,2019,positive,FRESHNESS IS OK..
2.0,April,2021,positive,Poor quality
2.0,July,2020,neutral,This product doesn't satisfy the claimed features by colgate.
3.0,August,2019,positive,Nice good
3.0,September,2019,positive,Good
3.0,August,2019,positive,Good
3.0,September,2019,positive,Good
1.0,January,2023,positive,
3.0,July,2019,positive,Good
3.0,July,2019,neutral,Normal
3.0,June,2019,positive,Ok
2.0,December,2020,positive,Good
3.0,June,2019,positive,like
1.0,September,2019,negative,"Well really disappointed.I ordered for the peppermint flavor, and i got the green tea one.And as far as the green tea one goes, which i had used previously, it is not your type, if you dont like tea stains in your mouth and oral cavity. You guys better stay away from the green tea flavour.Others go for it."
