Stars,Month,Year,Sentiment_label,Review_text
3.0,January,2024,positive,It good for rinsing teeth before sleep. You can use it after drink and it will hide the alcoholic smell .
3.0,November,2023,positive,It's very much acrid in taste. For me 'mild taste' flavour bottles are far better than these.
2.0,February,2024,positive,Don't waste money either your elichi is the best
3.0,October,2023,neutral,Taste is differ
3.0,October,2023,positive,Like
3.0,August,2023,positive,Good to use twice weekly.Of you use daily there might be chance of damaging your gums.Too acidic for gums.But keeps the plaques away.
1.0,January,2024,positive,
2.0,January,2023,negative,"Someone mentioned that Listerine Mouthwash is a hedonic product, but I'm not sure as it isn't ""pleasant"". If you're using a good toothpaste, you really don't need to use this despite what all it claims as a good toothpaste would surely do all of that. Of course, unless you're just looking for something to spend on..... or some other exceptional reason. I won't be able to use toothpaste for an unspecified time and so I decided to brush (without toothpaste) and then use this. But this has a few problems. First of all, rinsing it after 30 seconds may cause some burning sensation. However, that's not too painful. In product description, it's mentioned that for best results, one shouldn't rinse mouth with water or eat and drink anything for 30 minutes post rinse. As it contains alcohol, it's not advisable to swallow it. I find that particularly inconvenient. Colgate Plax claims to have 0% alcohol and cause no burning sensation, so if that's true, I may go for it next time (although it's relatively expensive). Wish I'd done the research before! Hope that I can start using paste again soon. Have to use the 3 bottles though as it's not returnable. As a pack of 3 was cheaper than buying just one, I wisely bought what seemed to be cheaper! How was I supposed to know, right?!"
2.0,October,2023,negative,"Too harsh in use. I would strongly recommend ko avoid it, and if you still want, purchase it from local shop. In addition, the packaging was also not enough. The box was damaged. Thanks to amazon they processed the refund. I guess it will be credited in my account in 1-2 days."
3.0,July,2023,positive,Just ok
3.0,May,2020,negative,"Purchased For : Rs. 250/-Have been using this product for approx. 2 months now & it has been a decent experience.Good things:1. Strong Bad breath protection & freshness. The cooling effect of the mouthwash lasts quite long.2. Cost effective. Retail price of the product is Approx Rs. 125/- per bottle. Buying 2+1 pack does save money.3. Seal tight packaging. No leaks/defects observed.Cons:1. Contains Alcohol as one of the ingredients though exact percentage is not mentioned. Nevertheless, the alcohol tends to give strong burning sensation inside the mouth.2. Not meant for people having oral problems like Xerostomia (Dry mouth) due to alcohol present.3. Not meant for people having sensitive teeth & gums as the burning sensation can cause severe irritation. Also, due to this can't be shared with children.Conclusion: Initially I didn't care the presence of Alcohol in a mouthwash as I always felt that the burning sensation is meant to fight bad bacteria & breath which isn't always the case.Non-Alcohol based mouthwash can also achieve the same effect.Hence, switching to Colgate Plax after this.Overall, Not Recommended!."
3.0,June,2023,positive,Value for money
3.0,May,2023,positive,Good product
1.0,December,2023,negative,"Don't buy if you are allegric to alcohol. Also it smells and tastes weird, I had headache after using it."
3.0,March,2023,positive,"Has a strong artificial flavour and colour. Bought as a mouthwash, but using it to wash my night-guard."
3.0,April,2023,positive,Best ressort
3.0,August,2022,neutral,The flavour is so heavy that it almost burns of you try to gargle without mixing some water. Freshness is ok and longevity is the usual. Nothing extraordinary there. Personally I am not a fan of the flavour. May be next time I will try a different flavour.
1.0,December,2023,negative,Weird smell maybe because of alcohol. My previous had no alcohol. So the switch was bad and worse is I bought the bottles.
1.0,July,2023,negative,The day when I used this it was very pathetic..my whole mouth had sore and now I am not satisfied with this mouth wash and even feeling disappointed for using this all the three not came on my usage becoz for more than two weeks I was in pain and I never recommend this to anyone becoz of very strong which burns my mouth
3.0,June,2022,positive,Don't have toouch to say it's a nice mouth wash that keep the smell for long hours.The only issue is with the pack design which breaks when whe travel on compression.But good. Giving 3 stars for the design flaw in the bottle
1.0,November,2023,negative,Bad and irritating taste I opened yesterday .Have to return the the product.
1.0,October,2023,negative,Taste is very poor didn't like it.  Please check it all details care full return not able fir this product
2.0,April,2023,positive,3 order kiye the jisme 2 hi aaye great chori krne ki had hoti hai
1.0,November,2023,negative,Creates bubble in mouth. Quality is not good. Go for cavity fighter.
3.0,October,2022,positive,Feels like burning inside
2.0,February,2023,negative,It is very diluted and not concentrated like my last product. Doesn't feel freshness after using it. Seams dublicate product.
1.0,October,2023,negative,"Maybe we received wrong products , it’s doesn’t give freshness"
3.0,March,2021,negative,Don't go for this if you don't want a burning sensation in your mouth. In bottle direction they have told that rinse in mouth for 30 seconds but i guarantee that you can't even hold for 15 seconds it's burning sensation is heavy  and mainly it contains alcohol.
3.0,July,2021,positive,I prefer the original flavor. I wanted to try this and found it too sweet. Funny a mouthwash supposed to fight against germs and cavities but sugared out?
1.0,October,2023,negative,Tastes like kerosene….bad experience
3.0,August,2022,positive,Ok
3.0,December,2020,positive,Doesn't matter what the instructions say: DO NOT! I repeat DO NOT use undiluted solution. While the flavour is good but the product is too strong and using it without mixing it with water will hurt your gums in the long term.
