Stars,Month,Year,Sentiment_label,Review_text
3.0,February,2024,positive,Quality and price is not reasonable little bit high
1.0,January,2024,negative,This is the worst toothbrush i have seen. It is not at all soft bristles. Moreover it is mere a designer brush and doesn't fulfill the requirement.I couldn't imagine that colgate manufacturing such useless toothbrush.Please don't buy.Thanks.
3.0,February,2024,neutral,Not very soft.. Definitely not ultra soft... Go for the FOAM one from different brand..
3.0,February,2024,neutral,"Not as soft as expected, there are softer better brushes"
3.0,December,2023,negative,"I tried this as I read that this brush has many more bristles than other brushes, but this is too soft to use after using the standard type for 3 decades. I'll try for another month and will update the review if I feel any different. It reaches the corners of mouth much better, but it's just too soft."
3.0,December,2023,negative,Not worth of money little bit coastly as compared to other brushes and brushes aren’t soft
3.0,October,2023,positive,"Old looking Colour's,.Sometimes feels hard.."
3.0,October,2023,positive,Okay
3.0,March,2023,negative,"I was looking for a replacement to Colgate Charcoal toothbrush which I am using for years. I ordered this after seeing the description and reviews, expecting softer bristles but turns out it has similar softness to charcoal one, just that bristle density is high. It does feel a bit soft but for initial few uses only.A bit disappointed with the brush, considering its costing more than double of what charcoal one costs and the term ultrafoam it a bit misleading. So, I'll be going back to the previous one.Only pros would be ergonomic soft handle and high density of bristles.You may go for it, if you want wider coverage i.e. cover more area in less time."
2.0,January,2024,negative,Bristles are NOT soft. After 4 days shape distorted
3.0,September,2023,positive,Feels like a medium soft not a ultra soft  brush
2.0,November,2023,positive,"I bought it after seeing ads on Instagram then I found out that 10k plus bristlles are good at cleaning teeths but, honestly I would go simple brush with soft brittles."
3.0,July,2021,positive,"Bought this toothbrush for myself and my wife and we were happy with the coloring scheme.The brush head was very small but it helped in taking the right amoumt of tooth paste and we never had the problem of taking extra toothpaste than required.The bristles were very densely packed, never used anything like this before. This certainly gave me much better confidence in cleaning each tooth and I was able to concentrate on the right areas for cleaning.The bristles were very soft and never harsh on the gums. At the same time the dense and pointed bristles was able to clean much better than my previous regular sized toothbrushes.But I have been notificing this issue of bristles in the lower end of the toothbrush being bent of at angle when taken right out of the box. I saw this on the enamel protection series as well. This looks like quality wasn't taken care much by Colgate. In this pack of 2 only 1 brush had this bent brsitles but seems common in the new series from Colgate.Handle of the toothbrush is soft to grip and strong to prevent bending.Overall a good toothbrush for cleaning tooth, but price is higher and quality of bristles alignment is something that should be looked upon."
2.0,December,2023,positive,Bristles size is too small. Colgate gentle enamal is much better toothbrush.
1.0,January,2024,negative,I need a soft brustal toothbrush but it's not soft and what I expect it was not that tooth brush so please don't buy it don't waste your money
1.0,February,2024,negative,Expensive without any use
1.0,January,2024,negative,"The bristles are too close, even after brushing my teeth are yellowish, and I find trapped food particles.Useless toothbrush."
3.0,June,2023,positive,Awesome
2.0,September,2023,negative,"The Bristles are hard & clogged, they do not spread at all while brushing, and stay as a lump."
3.0,February,2023,neutral,I would have given four for my first experience with this brush but when I ordered the second time the brush didn't feel as soft as what I've got at first time.
1.0,January,2024,neutral,As shown in image product not same Don’t fool the customer
1.0,November,2023,negative,"I am telling you the truth I have this pair of toothbrush and they r so much hard , literally very hard.  It's a lie that it is Soft or ultra soft . Nhi hai Bhai ye soft ek dam kharab hai. Nhi hota viswas to khareed ke dekh lo😊"
3.0,January,2023,positive,THE BRISTLES CAME OFF FROM THE BRUSH WHEN I KEPT IT IN THE TRAVEL BAG DURING MY TRAVEL VERY DISAPPOINTED WITH THE QUALITY
1.0,November,2023,negative,"One of the worst product from Colgate. The description says ultra soft, which is a joke.May be it has too many bristles too close to each other which makes the brush super hard and punishing on gums.This being one of the most expensive brush, its absolutely not worth."
2.0,September,2023,neutral,Not ‘so soft’ as per description
3.0,October,2022,positive,No bang for the buck but good brushes but Colgate should have made it in India or any other country than China. Will buy them if they would be made in India.
1.0,January,2024,positive,Worst product. Dont buy.
1.0,December,2023,negative,I m totally disappointedWaste of money
1.0,September,2023,negative,"Forget ultra soft, this brush made my gums bleed within 2 days of trying. The head is so small that it doesn’t go to corners, and when I did try to make it reach to the corners, it hurt my gums so bad that it will take at least 2 weeks to recover. I just don’t understand why would you do this, Colgate? I’m so hurt!"
1.0,December,2023,positive,Poor quality
1.0,September,2023,negative,This toothbrush is so expensive but is totally useless1. It is so small that you will feel like its a childs toothbrush2. The bristles are so soft that they are quiet unsatisfactory to use it feels like brushing with a cotton3. No tongue cleaner4. The bristles come off while brushing a super irritating feeling
3.0,October,2022,neutral,Image shows ultra soft but it is little bit hard. This is may be medium. So not fit to children's.
1.0,October,2023,negative,It's a rubbish thing ... I will not even call it a toothbrush. It's absolutely inconvenient and harsh. It is not good for tooth cleaning at all. Wondering how can this be launched without a trial !! Ekdam bakwas.
3.0,October,2021,negative,Bristles are soft but they are joint in a way that it makes brushing as if it’s with hard bristles. Design is cute but better toothbrushes are available in the market with price way lesser than this. Not helpful if you have super sensitive gums which tend to easily swell.
3.0,November,2022,neutral,No softness was there as I hope
1.0,November,2023,neutral,Do not reach to hard to reach teath areas in mouth.
1.0,October,2023,negative,It says ultra soft but not soft at all. The bristles are so hard my gums started to bleed during the first use. This is the worst toothbrush i have ever used.
1.0,October,2023,positive,As tooth brush it is very hardSoft brush के नाम पर  एक सामान्य ब्रश है।
1.0,November,2023,negative,Toothbrush is so hard and horrible
