Stars,Month,Year,Sentiment_label,Review_text
3.0,November,2023,negative,Not worth the price.  We could do with other Indian brands which are sub INR 100.
,April,2023,negative,"Qualité prix laisse a désirer , tenir compte du transport pas bien indiqué ! Plus chère que l'achat"
,June,2023,negative,"I like this toothbrush and ordered from online before, always nice product and cute colors like the product photos..Very disappointed to receive a brown toothbrush 😭😭😭I guess they got extras this weird color & send to online shoppers,  because who wants a brown toothbrush? Can't imagine a worse color for a toothbrush.For this reason I don't think I'll buy these online again"
,October,2023,positive,ブラシ部分の色と持ち手の色を自分で選びたいです。ランダムに送られて来る色が好きな色ではないと、残念な気持ちになります。
,January,2024,negative,"Ich habe mittlerweile alle Curaprox genutzt, mit Begriffen wie Soft, Super Soft und Ultra soft wird impliziert, dass diese besonders weich sind, wobei erst die ""ultra soft"" als weich bezeichnet werden kann. Die CS 12460 Velvet mit angeblich 12460 Bosten setzt nochmal einen drauf und ist jetzt wirklich angenehm weich.Für Personen mit freien Zahnhälsen und empfindlichem Zahnfleisch daher eigentlich top.Auch die Ergonomie passt.Warum also nur 2 Sterne?Nun, Curaprox wirbt, dass die Zahnbürste deutlich länger hält wie herkömmliche Bürsten, da sich die Borsten nicht mit Wasser vollsaugen.Leider verkleben die Borsten bei mir aber nach jedem Putzen im mittleren vorderen Bereich.Was nutzen also 12460 Borsten, wenn 1000-2000 davon verkleben und ein ""Klumpen"" sind?Genau, gar nichts.Ich kenne das Problem schon von der 5460, nach jedem Putzen versuche ich den Klumpen mit einem spitzen Gegenstand zu lösen, dabei verliert die Bürste dann aber auch einige Borsten.Am Ende hält die Bürste dadurch dann auch nicht länger, da logischerweise irgendwann ein ""Loch"" entsteht...Wegen offenen Zahnhälsen muss ich sanfte Zahnpasta nutzen, ich nutze die handelsübliche ""Sensodyne multicare"".Mein Vater nutzt die selbe Bürste mit einer anderen (gröberen) Zahnpasta und hier passiert nichts.Kann also durchaus mit der  Zahnpasta-Kombi zusammen hängen.Doch was bringt eine weiche Zahnbürste, wenn man dafür stattdessen grobe Zahnpasta nutzen muss?"
,on,12,negative,"Just making sure that others are aware that the ITEM COLOR IS RANDOM. The product page only subtly mentions this in one place, so I missed it. I thought I was going to get the Green/Grey (which honestly was half the reason I bought it) because the specs section says Green, but instead I got Baby Blue/pink. Kinda bummed, but I guess I should have read the whole product summary more closely."
,on,22,negative,"I have been using an electric toothbrush for 10 years. I have recently been concerned that it has been causing my gums to recede. My mom's dentist told her about Curaprox toothbrushes, so I thought I would give them a try. I bought the 5460 one (that I haven't yet tried) and this 12460 (that I have tried).I *do* believe that the denseness of the bristles helps clean your teeth better, and initially I was very happy.But I don't know if it's the toothbrush, or if I pressed too hard, but some bristles pop out they extend past the top of the toothbrush — and these stray bristles make it seem like you have plastic bristles caught on your tongue, in your mouth, etc.. This started happening after 6-7 brushes.The thought of accidentally ingesting these plastic bristles is incredibly stressful. It is like the complete opposite of what I am trying to do. As a result of this, I have decided to buy boar-hair bristle toothbrushes. Although I am usually vegan, I am fed up with plastic. I am returning this."
,May,2023,negative,レビューが良すぎるのでまんまと買いました。欧米とか北欧？で、デンタルケア医療が充実・浸透している国が作った事があって、まだまだ歯並びが悪い人が多い日本では定着しないと思います。なぜなら、びっしり詰まったブラシは確かにツルツルになるけれど凹凸がないからブラシが上手く当たる部分の歯の表面を磨いているだけ。歯間にも歯茎にも入らないイメージ。そしてなにより、口に入るプラスチック部分がとにかく分厚いので口腔内でコントロールしにくく奥歯や歯の裏側が磨きにくい。矯正をして、芸能人のように綺麗な歯並びの人が表面のに磨くにはぴったりな商品だと思います。日本の歯ブラシ開発が、いかに日本人の歯並びの悪さなどに寄り添ってきているか身にしみました
,February,2023,negative,とても毛が柔らかく歯がツルツルになります。ただ歯並びが悪い私にはヘッドが大きいので歯と歯の間がうまく磨けませんでした。もう少しコンパクトなのもあるといいなと思いました。
,January,2023,negative,ドラッグストアによく置いてあるエビスの大きなヘッドの歯ブラシよりさらに大きいです。いくら毛の本数が多くても…。これが合う日本人は6L〜サイズの帽子を被るような巨漢になるかと思います。
