Stars,Month,Year,Sentiment_label,Review_text
3.0,December,2023,positive,Ok
2.0,February,2024,positive,"The product is good but delivery is not, one  item was missing."
3.0,April,2023,negative,Good reach because of the taper. Not so good compared to other brands I've used in the past because bristles are beginning to bend over within a matter of a few weeks of use.
1.0,January,2024,negative,Don't Buy it . Duplicate product is  selling and you can't use it
3.0,May,2023,negative,It was stated as with soft bristles. Actually  it is very hard. No use for those who are using soft brushes.
3.0,May,2023,positive,hard
1.0,December,2023,negative,This time these brushes are very hard even blood comes in my teeth. Why these brushes are too hard .I purchased other brushes from market.they were soft but why this time hard
3.0,February,2023,positive,Did not last as long as the exact same toothbrush I had bought abroad.
1.0,December,2023,negative,Bristles are very hard that can harm mouth linings and gums
3.0,December,2022,negative,I would prefer ultrasoft. This is okay for people whose gums are strong.
1.0,September,2023,negative,I ordered this truth brush and it has not reached me yet.I feel very bad about thisthis is very bad workno one orders thisये ट्रुथ ब्रश मैंने आर्डर किया था ये अभी तक मेरे पास नै पंहुचा हैये मुझे बहुत ख़राब लगा हैये बहुत घटिया काम हैइसे कोई भी आर्डर न करे
3.0,July,2022,negative,Earlier it used to be more soft now sensodyne has reduced its quality and launched another product with same look like &  branding it as ultra soft....nice trick...very bad & sad
3.0,May,2021,positive,Packing was 3 times. Still the main packing was tempered/torn. I didn't like it.It was toothbrush set 2. I m thankful to God the product is same. Qty. Also ok.Amazon should improve on delivery. Three stars not to product but Amazon delivery.
3.0,July,2022,positive,Nice one.very soft. Less teeth abrasion.go for it.
3.0,February,2022,negative,Not much softness. Taken extra money. This is ridiculous
1.0,September,2023,negative,"Very hard, not good don't buy"
3.0,July,2021,negative,handles are too flimsy... quality is degrading every time I buy a toothbrush from Sensodyne brand.
3.0,July,2021,positive,"The brush is soft in nature,cleaning of teeth is also well."
1.0,July,2023,positive,Economy product.expect such quality tool
1.0,June,2023,negative,We can use only for a month.waste of moneyDon't buy
3.0,July,2021,neutral,Bristles are not soft
3.0,June,2021,negative,Received one brush with damaged Brussels.
1.0,June,2023,positive,"I ordered 5, but received 4"
3.0,June,2021,neutral,Not original product
1.0,May,2023,positive,ITS A HARD BRISTLE BRUSH... HARSH ON TEETH. HIGHLY DISSAPOINTED.
1.0,July,2023,positive,Gh
1.0,December,2022,neutral,This is not a soft brush as claimed by them. Dentist advised me to use soft bristle brushes as I have sensitive teeth but this brush is very hard and not gentle on sensitive teeth.
3.0,February,2019,negative,Toothbrush quality of bristle is not good. Sebsodyne is good company but this product they failed. not worth it
1.0,May,2021,negative,"Useless brisells are hard it isnt enamel friendly n for gums too my mom used it once before so she asked me to order again, but now aftr 1 use , she dosnt wana use it again i brought another brush for her, not worth the money , i myself hv used the same product before taken from other plc n  it was soft ,👎 now its become worst ..!!"
3.0,July,2020,negative,Not so good
