Stars,Month,Year,Sentiment_label,Review_text
3.0,January,2024,positive,Product quality is very good at good price of 277
3.0,February,2024,positive,-
3.0,February,2024,positive,Good product thank you
3.0,December,2023,positive,Good product
3.0,November,2023,positive,
3.0,November,2023,positive,Feels like copy of original
2.0,February,2024,negative,Quality not good and silver paper seal not present in box. So buy from local not from this.
3.0,October,2023,positive,Good
3.0,October,2023,negative,Seals of outer and inner packages were broken/torn
3.0,August,2023,positive,It was good
3.0,September,2023,positive,Good
3.0,August,2023,positive,Good one
3.0,July,2023,negative,Product has been costly for the past few days
1.0,January,2024,positive,"1 star for hurting and supporting a particular community,"
2.0,October,2023,positive,"Both packaging and product was open, I checked the dates on each tube and found one tube was going to expire."
1.0,January,2024,negative,Not satisfied as the product will expire soon
1.0,January,2024,positive,
3.0,June,2023,positive,Budget friendly
3.0,April,2023,positive,Like the powder and demand frequently.
2.0,September,2023,negative,Quality is not so good
3.0,January,2023,positive,ये पतला है जबकि बाजार से जो मिलता है वो गाढा और स्वाद मे अलग होता है। बाजार वाला ही बेस्ट है
1.0,December,2023,negative,Got scammed.Received only 3 packets instead of 4 packets.
1.0,December,2023,negative,Product was Unsealed
3.0,March,2023,positive,Better other than paste
3.0,May,2023,positive,Good one
3.0,February,2023,positive,Awesome product comes with awesome price
2.0,August,2023,positive,इसमें एक कम है
3.0,February,2023,positive,
2.0,July,2023,positive,Thik hai
1.0,December,2023,negative,I waited very long and when I opened the toothpaste it's expired.. it's really disappointed 😞😞
3.0,April,2022,negative,Better than many chemical mixed toothpastes; flavour and taste comfortable.2-Jun-2023: it was only 200 for 4x150gm bit in one year the price increased by 50% and even like offer price now is still 25% more! This is terrible. So dropped # of stars
3.0,October,2022,negative,Products ka jo box tha vo phelese hi khula tha or ae toothpaste demej thi I don’t like
2.0,July,2023,positive,Product was good but packaging was very poor.
3.0,January,2023,positive,Achha hai
3.0,December,2022,positive,Can be used for regular use.
3.0,December,2022,negative,I think not suit for me..😒
3.0,August,2021,negative,"I am very, very upset about Amazon .They hold a lucky draw competitionAnd I’ve always been a winner in it but haven’t met a lucky draw even once to date.  I have been playing this tournament for three years but I have not met anything.  I have been a prime customer of Amazon for many years and I do a lot of shopping.  I'm so upset on Amazon"
3.0,October,2022,positive,Dabur products are always good. So this one is also very good to use as a daily essential.
3.0,November,2022,positive,ok for the price paid
1.0,December,2023,positive,
3.0,October,2022,neutral,Ok to buy nothing great
2.0,April,2023,positive,Sum time goodOther than price hi
1.0,October,2023,positive,"Peso k hisaab se , per piece mehnga hai"
3.0,April,2022,positive,I have got only 3 paste were is the another one paste . The best thing to buy paste only from
2.0,March,2023,negative,"Very bad taste...Colgate , pepsodent,close up are far better than this...I am never recommending this to anyone...."
2.0,March,2023,positive,It is written  150 gms x 4  but I received  100 gms. x 4
2.0,April,2023,positive,Very runny texture 👎
1.0,December,2019,negative,I have been using Dabur Red toothpaste for past three years. The toothpaste is very good and effective for dental problems. However the product I bought online from Amazon in December 2019 is substandard. It has no quality as that of local store and the flavor is very bitter. The toothpaste is appearing as if it is diluted with water. It is foaming more than the original toothpaste that we get in local store.The batches product sold online in Amazon are available at a discounted price but quality and flavor is very poor. It seems that these batches are factory rejected items.Please do not buy from Amazon. Instead buy it from local store.
3.0,February,2022,positive,Dabur is a best brand but received Dabur red paste it feels like duplicate as I'm using from past 7 years
3.0,December,2021,negative,I was delivered a damaged thooth paste.it was started leaking out from back side as i pressing the thooth paste
3.0,July,2022,positive,
3.0,July,2022,positive,Best to
3.0,June,2022,neutral,Taste not same as previously buy same product
2.0,February,2023,positive,Good
1.0,August,2023,positive,Ordered 4 super saver pack combo but only recieved 2. Provide refund or replace with full pack
1.0,September,2023,negative,2 out 4 missing
1.0,October,2023,positive,
2.0,January,2023,negative,The box sealed with dabur security tape was broken.
3.0,March,2022,negative,The product is valuable to the price but the packing was toooooo bad
1.0,October,2023,negative,Not good
1.0,August,2023,negative,Not good and packaging is too old .. It was done in 2022 .. And box is open.. Even paste is spread over tube
3.0,July,2022,positive,To good
1.0,July,2023,negative,The pack said to contain 4 tubes of 200 gms paste but contained only 3 tubes of 200 gms. Paste.Supplying only 690 gms toothpaste against supposed 800 gms was highly disappointing. Feeling cheated.
3.0,September,2021,positive,I'm using dabur toothpaste for long time but it's quite budget friendly in Amazon and the packaging was good.
1.0,August,2023,negative,यह आइटम मुझे मिलने पर ही कोई निर्णय लिया जाएगा।
3.0,April,2022,positive,good
1.0,March,2021,negative,"See where it is fit to be thrown!It burns the mouth seriously and creates further complications of sores too!Some reviews mentioned the burning and hence not using itSome liking it because of its burning sensationSome bearing with the burning for the first two to three months,then finding it favourite of long time,However you may choose to deal with the burning, it definitely burns and spoils the mood for the whole day and creates concern about mouth sores for a few days later, just after one use!Dabur's online report somewhere claims that everyone doesn't have the same physiology and hence toothpastes can feel differently to different people and may be even have allergic reactions to some!Well, toothpastes must suit all physiologies and if they don't, they are a health hazard and not fit to be brought to the market!The minimum legal requirement is a prominent warning about it becoming a hazard to certain types on the ads, product description and the package!In the absence of the above, see where it is fit to be thrown in!"
3.0,May,2022,positive,
3.0,August,2021,positive,"Price went down after buying.  Best value Rs.180 and less for this product. Btw, good product"
1.0,September,2023,positive,
1.0,August,2023,positive,Ismein saman kam hai
3.0,October,2021,neutral,"Its not at all blunt or rounded, it should be more poignant."
3.0,August,2020,negative,Product is great but I got a unsealed package and the quantity of the product has been compromised please don't do like this the other customers this is seriously wrong on ur side plz cross check while packaging
3.0,January,2022,positive,"Always like,Always I ordered it"
3.0,October,2021,neutral,Guds but taste not feels like original paste(offline market))
3.0,November,2020,negative,"Product is ok, some chemical like smell coming in the paste. Don't know whether it is a genuine or not. Packaging is not at all good. Cheap packing. Not upto amazon"
3.0,October,2021,negative,Tooth paste is missing not in package very poor
3.0,March,2022,positive,👍👍👍👍
3.0,September,2021,positive,"The product says Ayurvedic natural,, but contains somany synthetic ingredients"
3.0,December,2021,positive,बराबर नहीं है.सुख गया है.
3.0,December,2021,positive,Value for money.
3.0,July,2020,positive,"OUTER POLY PACK WAS INTACT RECEIVED. HOWEVER, THE INNER CARTON OF TOOTHPASTE WAS OPENED AND PASTE TUBES NOT FRESH. THE PURPOSE OF GIFTING DEFEATED.  PLEASE SEE THE ATTACHED FILE WITH SNAPSHOT OF RECEIVED CONSIGNMENT."
3.0,November,2021,positive,It’s nice but could be nicer
3.0,November,2021,neutral,Please check it's expiry date before delivery
3.0,December,2021,negative,Not good
3.0,December,2021,positive,Good products
3.0,November,2021,positive,That quality and freshness gone
2.0,September,2022,positive,Buy 3 Get 1 free but i find only three inside the pack...
3.0,May,2021,neutral,I got the product in deal so I purchased is but I doesn't like its taste.
3.0,September,2020,negative,Weight might be low than 150gm .because paste tube end pressed 2cm from the end.And flavour is something different from local store. I notice that lower acridity (तिखापण) .
3.0,October,2021,positive,Value for money product.
3.0,June,2020,negative,"Taste is different from the product from local store. Moreover, packaging is worst.  I appreciate your efforts to deliver the product in this pandemic."
3.0,August,2020,negative,"Product is ok.... But packaging is very bad... Just a plastic packet. Product packaging get damaged  inside Amazon's plastic packet,  and I'm lucky that the paste didn't leaked."
3.0,September,2021,negative,Flavor is not good
3.0,August,2021,positive,Good but not better than Patanjali dantkanti
1.0,June,2023,negative,Damaged the  product  non returnable  very bad Non returnable very bad and not good
3.0,November,2021,positive,Like
3.0,September,2021,positive,I like this product
3.0,March,2021,negative,The packet was torn and opened. Two of the tubes were only 3/4th full. Disappointed
3.0,October,2021,positive,Ok
