Stars,Month,Year,Sentiment_label,Review_text
,October,2022,positive,"Ingredients au top, bonne note sur yukaPar contre trop de mousse=> pourquoi autant sachant que les dentifrices bio n’en font pas justement ?Goût hyper fort.Pas de label pour les « ingrédients organiques ».Produit en Inde => attention à l’empreinte carbon de cet article.Il faut mettre seulement une trace de dentifrice sur sa brosse afin de ne pas été gêné par la mousse et le goût fort.Finalement je ne recommande pas vraiment car on trouve meilleurs ailleurs (Lavera, Logona) avec des logos bio et produites en Europe."
,October,2023,neutral,"No está mal, pero tampoco me encanta"
,July,2019,positive,"Mich stört, dass die Zahncreme beim Auftragen auf die Zahnbürste jedes Mal klebrige Fäden zieht. Ansonsten ist der Geschmack aber toll, sehr natürlich, sehr zimtig und frisch!"
,October,2020,positive,"Molto buono e salutare ma il sapore, ahimè, stucchevole. Io preferisco altri similari a questo prodotto ma è del tutto soggettivo. Per esempio il mio ragazzo lo preferisce a quello che utilizziamo di solito (sempre ayurvedico). Comunque per chi volesse uscire dai prodotti commerciali, può essere una scelta ma attenzione: il rapporto qualità prezzo non è dei migliori"
,February,2024,negative,"I like this toothpaste I have the mint flavor so I thought oh I'll buy the cinnamon flavor. Well that didn't go so well with my body. I end up having a reaction to it .my tongue swelled up my throat was closing I had to take a Benadryl right away and go to the hospital. To me I don't like any flavors to my toothpaste, I just like a plain toothpaste.I hope this company reads this and make one without any flavor. Cuz people have allergies and it could be life-threatening just like me. I'm not allergic to cinnamon but I was allergic to this kind in this toothpaste that almost cost me my life. I hope this company. can make one that I can buy all the time that has no flavor to it. We really don't need flavor in our toothpaste. We don't need scented bounce we don't need scented dish detergent. It's really bad for our health."
,on,5,negative,"I chose the Cinnamon flavor as I dislike the peppermint flavor, however the menthol flavor from the peppermint leaves in the ingredients over powers the cinnamon flavor. Peppermint is a cultivar of Spearmint. Spearmint leaves contain less menthol which if they had been used would have improved the cinnamon flavor. Its hard to find a tooth paste without to much menthol, and is fluoride free. Fluoride is the second most dangerous metal for your body. Please do your own research on Fluoride to understand the dangers of this metal. Anything placed in your mouth is still absorbed into your body. Now I need to keep looking for a better tooth paste flavor. If the flavor was right this tooth paste would have been perfect."
,on,6,positive,"This toothpaste has a kick. My preferred flavor is cinnamon but it’s difficult finding a natural toothpaste in cinnamon so I was thrilled to find this one. I have been a Hello brand user for years and have been content with that as it’s kept my teeth healthy but wanted to try something new, so here I am. The only thing I don’t like about this toothpaste is the lid. Why doesn’t it have the ease of a flip top lid? Hopefully this will be fixed in the future.Update:After finishing my first and only tube of this toothpaste apparently I’m a HELLO brand loyalist. Hello just does a better job cleaning. My mouth feels cleaner longer and my breath stays fresher longer. I wish Hello made different flavor options like this brand but I’ll take clean over flavor any day."
,on,25,positive,"Taste was ok, I like that it is natural, but did not like the after taste, breath feel."
,on,12,negative,"Annoyingly, this toothpaste has severely inflamed my gums, tongue and the entire lining of my mouth, after only 5 days of using it.First time around I didn't think the issue came from this toothpaste, however I intuitively stopped using it because of the strong cinnamon flavor was badly hurting all parts of the inside of my inflamed mouth.It took around 3 long weeks for the inflammation to heal, during which time it was really painful to eat, drink, and to clean my teeth.A couple of months later I spotted the toothpaste again in my cupboard and started to use it for the second time. This is when I actually realized that the previous massive mouth-lining-inflammation was caused by this specific cinnamon flavored toothpaste, as the lining of my mouth, gums and tongue started to hurt severely again, after only 3-4 days of using it, this time around.I never have problems with cinnamon otherwise, I often get a cinnamon roll, put fresh cinnamon in my porridge, or drink cinnamon tea, which never gives me any reactions of any kind.So something is not quite right or balanced with this toothpaste.Has anybody experienced anything similar at all?"
,on,18,negative,"I found this to be too runny in consistency - basically falling off the toothbrush before it could be utilized. ""Simply Cinnamon"" flavor was a huge disappointment as it tasted more like strong, slightly bitter spearmint."
,on,26,negative,"I love cinnamon, but this is probably the worst tasting toothpaste I have ever used. That is saying a lot for someone who doesn't like mint. I just got this today and only used it once. It tasted like the spices they sometimes put with cinnamon for fragrance. Had I known this, I never would have bought it. $7 down the tubes - literally! 😢 I'm hoping this message saves someone with similar taste buds from wasting their money."
,on,29,negative,Unfortunately I missed that this contains neem oil. It ruins the taste and feels like brushing with mouth wash.
,April,2023,positive,"Haven’t used this long enough to judge its efficacy, but on day one I noticed the flavor was off. Tastes like there might be fennel and mint as well as cinnamon. Not terrible, but a little offputting."
,on,30,positive,"I was so very excited to get this cinnamon flavoured toothpaste. Put it on my brush, smelled not so much like cinnamon, started brushing. So very disappointed.  Flavour is more clove then cinnamon.  Nasty like an old ham or 1960/ 70s dental office."
,on,16,negative,"If you are looking for cinnamon toothpaste, this is not it. No cinnamon listed in ingredients, while midway through the list is menthol- when I was specifically looking for non-mint toothpaste as it irritates my gums. I decided to try it anyways because I was out of toothpaste and the taste, while probably less minty than other toothpastes, was definitely not cinnamon. I hope my favorite toothpaste comes back in stock soon."
,on,25,positive,In general it's probably a good toothpaste although a bit minty not the cinnamon flavor I was expecting and hoping for. However I didn't buy it for me I bought it for my special needs son who cannot tolerate the minty flavor. I don't really care for the flavor either but it's non refundable unfortunately so I guess I'll use it until it's gone. Have to go back to our previous toothpaste and see if it's back in stock
,on,19,positive,"I would give it 0 ⭐️.If you don’t need your tongue use this tooth paste.I was searching for a sls free and natural tooth paste. The only positive thing about this item is the great smell of it (cinnamon smell) before you use it.It is almost impossible for me to use it, it numbs my mouth and tongue for hours. Waste of money and probably health."
,on,6,negative,"As others have written, the toothpaste simply has no cinnamon taste.  I love cinnamon and was looking for an alternative for Tom's Cinnamon toothepaste.  I can get other flavors of Tom's locally at my stores, but for some reason cinnamon is not available.  Buying it on Amazon, the cinnamon flavor is twice as expensive as the ones I can buy in store and I hate paying double for something just for the taste.  So I was searching for a suitable Tom's cinnamon replacement.  This is a very good toothepaste, but if you're purchasing because you're looking for a cinnamon flavor, as I was, I suggest keep looking.  I've tried two different alternatives and both have failed.  Guess I'll be ordering some Tom's off Amazon once I'm finished with this tube."
,on,12,positive,My kids use the mint flavor that they seem to enjoy. I typically get the Nano Cinnamon brand but they are out of stock. This tastes NOTHING like cinnamon. It has a very strong minty menthol taste. As well as a horrible aftertaste (much like diet soda or sweet n low) I used once. This item is not eligible for return or refund.
,March,2023,negative,"Compré este dentífrico para un familiar.Lo usó durante un tiempo hasta que tuvo que acudir al dentista por la aparición de lesiones en la boca (y ¡hasta en la comisura de los labios!).Y parece que todas esas lesiones (estomatitis de contacto y papilitis) fueron causadas por esta pasta de dientes. Por recomendación facultativa dejó de usarla una semana y ¡santo remedio! comenzaron a desaparecer.Tras analizar sus ingredientes parece que utiliza limpiadores formadores de espuma muy potentes (de hecho mi familiar se sorprendía por la cantidad impresionante de espuma que hacía) que resecan la mucosa y la hacen propicia a infecciones e irritaciones.Me he animado a escribir esta reseña por si esta experiencia, que ¡ojo! es solamente eso, una experiencia personal, puede resultar de ayuda a otrxs compradorxs. Es posible que esta pasta de dientes no les afecte, pero si sus encías, lengua, dientes o boca son sensibles quizás deberían plantearse otra opción."
,October,2021,positive,"If you are like me and was trying to avoid mint, be warned this does contain mint! Other than that the flavor is good and my wife likes it! I believe it should be more clear, you think by buying cinnamon, you're buying a toothpaste for people with issues with mint and yet mint is included...."
,on,30,negative,"I have no experience with this toothpaste to describe its effectiveness, because the intolerable taste made me stop using it immediately. Its strong cinnamon flavor does not mask the strange strong chemical taste. Buyers should also note that the product is not eligible for a return for a refund: you try new buy it."
,on,11,negative,"Sorry. I have issues with peppermint so was really looking forward to this. It tastes horrible, medicinally, just a horrid taste. Would love to return, just not allowed. Very disappointed. Save your money."
,January,2023,negative,"I am unable to have mint toothpaste, so I’ve been looking for a good replacement. I’ve tried several different brands that were OK but not great so I kept looking. Himalaya complete care toothpaste is the worst tasting toothpaste I have ever had. It tastes a bit like dirt and the texture is not much better. I tried to return it for a refund, but Amazon doesn’t do refunds for this product!. So if you haven’t tried it before, and want to give it a try, buy it somewhere like Walmart that accepts refunds for everything. A better cinnamon toothpaste, believe it or not, is Close-Up. Unfortunately, it has fluoride which I would prefer not to have, but at least it taste better, foams well, and leaves you with fresh breath"
,on,2,negative,I only selected this item because the photo shows two pieces.Only one item… bait and switch.
,on,6,negative,"My teeth were clean, and the taste wasn’t too spicy, but it sure did burn… wasn’t sure what it was at first but I began to feel my inside mouth more…felt off… then i thought i had cuts on my lower inner lip… nope, my inner lip was just feeling sensitive because it had been exposed to too much cinnamon essential oil or something else in the the toothpaste. Not worth the daily discomfort. Not going to use it anymore!"
,on,3,negative,"I initially liked this toothpaste because the flavour was so much better than the nuclear mint I'd been battling for years, but within a day of using this, the corners of my mouth started to get dry and developed micro cuts in the skin. After two days, my mouth was sore and dry and my lips had got worse. Three days in and my mouth, tongue and lips are stinging, sore, red and swollen. I've decided to stop using it and try something else before it gets any worse. I feel like I've got a sandpaper rough, dry as a desert, bee sting trout pout.The toothpaste is incredibly foamy - worse than regular toothpaste and unfortunately it made me gag quite a bit. I also think this is why my lips got so dry, as it was like spitting out shaving foam by the end! I like the fact that it wasn't grainy like some toothpastes, but that and the flavour were the only plus points for me. It was very expensive - about 4 times the price of my regular toothpaste. Sadly a waste of money that I can't pass on to anyone else, given the hygiene issue with that."
