Stars,Month,Year,Sentiment_label,Review_text
3.0,September,2023,positive,Price to high
3.0,September,2023,neutral,Koi extra effect mere sensitivity pr nahi hai
2.0,October,2023,positive,Price High
3.0,November,2022,positive,Product seems missing some good quality to give you fresh and comfortable feeling for your mouth and also not giving relief to gum problems and tooth ache
3.0,September,2022,negative,It's different from other sensodyne flavours not satisfied
3.0,January,2022,positive,"The toothpaste is good,but still repair and protect wins the game easily."
1.0,August,2023,positive,Freshness is missing
1.0,June,2023,neutral,Worst no result and expensive for 70 grams
2.0,April,2022,positive,Average
2.0,January,2022,positive,Super
1.0,April,2022,negative,The product come with seal break onthe  mouth of toothpaste or the taste is worst
1.0,November,2021,negative,Not at all recommended. Tastes like chemical with a very bad smell.
1.0,April,2022,positive,
1.0,May,2022,neutral,No result
1.0,October,2022,positive,
2.0,January,2022,positive,I have been using rapid relief for a very long time. But this time i decided to try this  new toothpaste. I must say rapid relief is a lot better than this coz the freshness remains till the end of the day
