Stars,Month,Year,Sentiment_label,Review_text
3.0,January,2024,positive,Good
2.0,January,2024,negative,"I've used it and got little results. Could be used for a month but don't use it regularly (my dentist also recommended the same) as it would decay your enamle. If your teeths are very yellow then go for some Desi jugads (home made remidies) or consult your dentist. It won't fully brighten your teeth but would give some result. Overall, could be used for a month or less but do not even think of using it regularly :)"
3.0,October,2023,positive,Good
3.0,September,2023,neutral,It's a normal toothpaste. Nothing Wow  about it. It does nothing just cleaning. If you are buying to make your teeth white don't go for it.
3.0,July,2023,positive,Ok
3.0,February,2023,negative,"Unexpected, I am on last I mean third almost getting over I brush my teeth 3 times a Day , not at all effective on my yellow stain , if U r looking for Whitening its complete fake its just normal toothpaste"
1.0,January,2024,neutral,Only claim not use properly
2.0,September,2023,neutral,Your teeth will never become white if you use this paste
2.0,September,2023,negative,Not very good just value of money
2.0,June,2023,negative,It is peeling my skin on my lips If I use it twice a day. The product mentioned to use 3 times a day but when I used it my lips became completely chapped and It took me till a week to recover my lips.
1.0,October,2023,negative,"I am trying all Indian brands of toothpaste until I can settle on one I like. This one leaves my teeth feeling gritty after a few days. It doesn’t compare well with the foreign brands I usually use. But taste is better than others. The toothpaste is semi liquid, and hardly stay on the toothbrush. Also a problem with Indian toothpastes."
3.0,September,2022,positive,"Whitening capabilities are just a sham, I am doing this review after 6 months of usage. Nope, your teeth won't turn white as they say. But it gives great freshness, so I am fine with that."
3.0,February,2022,neutral,"After using this for a month I can say this somewhat helps Making the teeths white. But not as bright as I expected and shown on packaging. Also the taste is very weird, but you'll get used to once you start using it.I would prefer a regular toothpaste from next time."
3.0,July,2022,negative,Packaging was not good for this product . Kindly make the product value for money and donot send a defected product to us .thnks
3.0,June,2022,neutral,As I drink so much coffee we all know what happens.  This product works only a little but doesn't whiten too much
3.0,September,2022,neutral,Freshness is there but no whiteness
3.0,September,2020,neutral,Been using this for 2 months now and I don't see any results. I've been avoiding foods that stain teeth but still I don't see much results. Giving it three stars as it leaves a fresh feeling in my mouth otherwise it's just a waste of time and effort if you wanna use it for whitening purposes.
1.0,September,2023,negative,Not worthit it does't white your teeth totally worst . It just like normal toothpaste
3.0,July,2022,positive,Supper
3.0,June,2022,positive,Good for daily use and keep freshnesse
3.0,December,2021,negative,"??? ???????? ???? ???, ???? ???? ?? ??? ??? ??? ??, ?????? ??? ??? ???? ???? ??"
1.0,September,2023,positive,Waste Product
2.0,March,2023,neutral,Not buy
3.0,February,2022,negative,Little Smells while start brushing... So not satisfied
1.0,October,2023,negative,Very bad
3.0,August,2021,negative,"I need to get 4 toothpaste. But the paper box was ruined by the rain, and 1 toothpaste was missing."
1.0,August,2023,negative,Too expensive. Quality not up to the mark.
3.0,April,2022,negative,Didn't like the taste
3.0,December,2021,negative,But people i'd say use vicco instead. Vicco toothpaste.
3.0,December,2021,positive,"Nice & great product , I'm happy with it ."
3.0,November,2021,neutral,Gutka ke dag nikalne me success nahi raha
3.0,August,2014,negative,"Brushing with this paste 3 times a day seems to make your teeth a bit sensitive, so I also ended up having to brush once a day with a sensitive relief paste, and seemed crazy to be brushing 4 times a day!The minty taste lingers in your mouth for a couple of minutes, although the freshness not for all that long. Should go for a mouth wash after too.While my teeth seem better, I do not believe they are 1 shade whiter, but I did miss the afternoon brush on a couple of occasions. Going to continue on this paste with 3x brushing for the month. Will update the review if anything changes."
3.0,January,2022,positive,Good product
3.0,January,2021,neutral,Nothing much happens to your teeth as claimed in terms of whiteness u can use other product in lesser price range
3.0,May,2021,neutral,Not so working on whiting. My teeth is remain same as befor.
1.0,August,2023,negative,So bad tooth paste.
1.0,August,2023,positive,
1.0,September,2022,negative,"This is just false advertisement. It wont do anything special but clean your teeth like a regular toothpaste. Whitening? hell no. In fact my teeth started to turn yellow. Could be due to the excess of fluoride it contains. whatever. I wont buy it again. It belongs to the fairness cream category, just fancy branding."
3.0,September,2018,neutral,It's an ordinary toothpaste. Keeps your teeth clean if brush regularly just like any other toothpaste. Doesn't make your teeth 'one shade whiter' as the company claims.Bought the 200 gm. pack only because I got it in the lightning deal @ Rs. 79.
3.0,October,2015,negative,Don't believe that you will see changes in a week as advertised.I have been using this product for 3 months and I have seen some visible change in the color of my teeth. I drink lots of Tea so this toothpaste helped me to regain some whiteness which I lost.. Even though the price is higher its worth to spend. But believe me its a slow process and you wont find any difference if u check everyday.may a couple of months will make a differnce worth noticeable
2.0,July,2022,positive,???? ??? 200+200 ????? ?????? ??? ?? ???? 200 ????? ??
2.0,August,2022,neutral,Not refreshing
2.0,February,2022,negative,?????? ???????? ???? ??? ??? ???? ??? ??? ??? ????? ?? ??? ???? ?????? ?? ??? ???? ?? ??? ???? ???
1.0,June,2023,neutral,It does not whiten my teeth. ??
2.0,July,2022,negative,Disappointed
3.0,March,2021,positive,To a limit
2.0,November,2021,neutral,"Makes no difference other than the hole in your pocket.Rather use babool or anchor toothpaste, it will save you lot of money."
3.0,December,2020,negative,There is very marginal whitening of the teeth.
3.0,July,2019,positive,"With cashback, It is value for money. But without cashback it's not. With cashback I got this at rs. 61.5/100g"
2.0,April,2022,positive,
1.0,December,2022,negative,I wouldn't suggest buying this at all. Even with 3 times brushing for a month I saw no change is yellowish teeth. Waste of money.
3.0,November,2020,negative,Not at all effective
2.0,March,2022,positive,Better
3.0,November,2018,neutral,"It's like other normal paste, couldn't find out if it can whiten tooth even after using it for one year."
3.0,April,2019,negative,I bought this product brush quality no so good. Brush is worth for money
3.0,August,2023,positive,For the first couple of weeks you will feel it's good to whiten your teeth but after sometime your illusion will break... No doubt it has a effect of freshness but not whitening. Very much costly according to working capacity of product.
3.0,July,2020,positive,Too strong
1.0,February,2023,positive,Quantity should be 9 I get only 8
2.0,June,2021,positive,"Would only recommend natural toothpastes, search Amazon and stay away from these products, use only in case of emergency."
3.0,April,2018,neutral,Did not feel much improvement after using it continuously and finishing the toothpaste. Looks like a regular toothpaste for me. Did not whiten at all.
3.0,June,2019,positive,Standard market product. Quick delivery by Amazon prime.
2.0,August,2021,negative,I expect too much its low quality and not. Working
3.0,September,2020,positive,Good
1.0,February,2023,negative,It's almost too close to expire date
3.0,October,2019,negative,Waste of mony
3.0,June,2016,neutral,It does whiten ur teeth but not much. Plus you need to brush thrice a day and I don't get time to brush more than twice. And sometimes it kind of makes the area inside n near my lips dry.
2.0,August,2021,positive,:(
1.0,June,2022,negative,I don't like this product so don't sell dis kind of product otherwise your company wil b lose. Hate most product.
2.0,July,2021,positive,Good one
3.0,October,2014,positive,"It is better than other whitening toothpastes....i have used this for a month.Mint flavoured paste gives fresh feeling for 4-5 hours so its been advised on the toothpaste to brush three times a day.It whitens the teeth to some extent,care should be taken to maintain whiteness.Good for trying."
1.0,June,2022,neutral,I teeth is same as before. No change . Reccomend not to buy.
3.0,March,2017,positive,average product with no visible change in whiteness of teeth after normal daily usages as it claims. Refreshing taste is a plus point for it.
1.0,January,2023,negative,Seal broken
3.0,July,2019,positive,Good
2.0,April,2021,neutral,Not reached my expectations
2.0,February,2020,negative,Not good product. I purchased because of colgate brand but I have bad experience with it. I never by again.
1.0,October,2021,positive,"I got Good Genuine product But My Teeth are not whitening or stainless with this product , Just fake Advertisement s ."
3.0,August,2017,positive,Ok. Package is similar to Colgate Optic white available in the US. But product seems to be different.
1.0,October,2022,neutral,No improvement in whitening even after month
3.0,October,2018,positive,Toothpaste Not as expected.other are good.
3.0,December,2014,negative,need to be careful how long u gonna brush as it may cause gum or skin sensitivity issue if u kepp it on for more than 2 or monre minutes. would not recommend this for kids.
3.0,April,2019,positive,Good
3.0,May,2018,positive,Product good. Bt not best like sensodent. Lovely brush.
3.0,February,2016,neutral,"Okay Product, I really couldn't make out the real difference even though I brush daily with it , felt little whiter, but not certain"
3.0,April,2015,negative,People with less enamel and has fluorine problem yellowish teeth this is not good a good product for them. And it makes teeth sensitive makes ur gums  bleed.
1.0,April,2021,neutral,I like the taste and freshness of the product but it just doesn't whiten your teeth.so why we are going to pay the extra?
3.0,November,2017,positive,Product is okay okay. Better to go for charcoal
1.0,July,2022,neutral,Never buy this product again because my order
2.0,September,2020,positive,Good
3.0,October,2018,positive,Little bit costlier.
3.0,September,2017,positive,"Not making teeth whiter, but good paste I guess"
1.0,February,2021,negative,I am using this product from last 3 months but no use teeth will not become white it's flavour is worst very bad product
1.0,May,2021,neutral,No whitening of teeth as it claims.. .. it makes u fool through advertising .. its better to use normal toothpaste ..
3.0,December,2015,positive,"Good, but no difference on teeth in 6 days yet. Will use for a longer time to give final review."
3.0,August,2015,positive,"Good deal but not recommended for those who have a sensitive gums and inner walls.Its corrosive in nature, but delivers good results."
1.0,June,2021,neutral,Used it for 4 months. There's no teeth whitening and teeth start to hurt with cold water.
3.0,September,2017,neutral,Does not whiten your teeth visibly....better use neem sticks..
3.0,July,2016,positive,"Pl provide gud material if you are charging so much, vatsala pink and black was 696 rs"
3.0,April,2015,positive,Satisfied with amazon delivery its my first purchase on amazon. Mint inside the paste give me a refresh feeling and make my teeth visibly white.
1.0,September,2022,negative,It hurts your gums.
3.0,October,2023,positive,Instead of 200g i think in tube only 100 g materialbis provided
1.0,November,2023,positive,?????
3.0,November,2022,neutral,I don't feel anything special about this paste....
3.0,October,2022,positive,It’s good in taste
3.0,September,2022,positive,"using for last 10 years,"
3.0,July,2022,negative,This all things showed on adds would not make feel real
2.0,January,2023,positive,ok with this price
2.0,July,2022,negative,Not better then gel toothpastes
1.0,June,2023,positive,
1.0,December,2022,positive,
1.0,October,2022,negative,Teeth will get destroyed. Mouth is smelling bad after using it. Better using no paste instead of it.  I don't recommend this product.
1.0,April,2023,positive,
1.0,February,2023,negative,This product missing
1.0,February,2023,negative,not working/ not satisfying
1.0,December,2022,positive,
1.0,October,2022,positive,Ok
1.0,June,2022,positive,
1.0,October,2022,positive,Bad quality
1.0,November,2023,negative,Memu return petaledEndhuku returnTelapandiReturn what problemReturns return return ???? ?????? ?????? ????? ??????? ???? ??? ?????
1.0,June,2022,negative,"Density is too low, not like original product"
3.0,November,2023,negative,Not so good
3.0,December,2023,negative,"not as expected, waste of money"
3.0,November,2023,positive,Just okay
3.0,October,2023,neutral,"Neither gives chilling feel, neither have taste of herbs. It does taste like anything. Look and taste, both is boring.However I got it at a good deal price"
3.0,August,2023,negative,"Once you have you Colgate Visible White, Total & O2 from the same Brand. this Kinda feels like downgrade. but I got in sale so it's okay I guess.doesn't go well with Electric toothbrush thou."
3.0,September,2023,positive,Better
3.0,September,2023,positive,Quality product
3.0,September,2023,positive,Good ????????????
3.0,October,2023,positive,Okay.
1.0,January,2024,negative,The product packaging was already opened. Moreover the product was not at its original condition as it should be. This concerns about the originality of the product. This is serious concern as it may affect health which is not acceptable
3.0,July,2023,negative,"This is a mediocre toothpaste. Why? It smells, feels and tastes great but won't do the main purpose — CLEAN. It cleans very poorly."
3.0,April,2023,neutral,"This toothpaste is no big difference than the normal one except it’s color and price. The price was a little bit higher than the ordinary one. Almost same like red,blue. If you like little purple shade, you can go with this."
3.0,July,2023,positive,Ok product
3.0,July,2023,positive,
3.0,April,2023,neutral,This toothpaste is not as fresh as I expected. The Colgate MaxFreh peppermint ice is much better
2.0,October,2023,negative,Definitely not recommended
3.0,May,2023,negative,Taste wise not good .... price wise value for money ??
2.0,September,2023,negative,It isn't value for money the quality is stupid I just hated this Colgate doesn't stays fresh .
3.0,April,2023,positive,Good to use
3.0,April,2023,positive,I like the product
3.0,September,2022,positive,For those of you who wishes to buy this product to color correct your yellow teeth... it's not purple enough to hide the yellow undertone of your teeth...rest it's the ditto same as colgate max fresh( blue one)
1.0,December,2023,negative,"One 150gm missing, mentioned 2 *150gm but recieved only 1*150 gm"
3.0,March,2023,negative,Not good
3.0,February,2023,negative,I have been using closeup since long time but this is not good seems to be duplicate.
3.0,March,2023,neutral,Can’t feel any change from red one
3.0,February,2023,positive,Nice
1.0,December,2023,positive,Bad smell
3.0,January,2023,positive,Good
3.0,November,2022,neutral,Box Inside toothpaste Package was not sealed . Please send sealed toothpaste from next time
2.0,June,2023,positive,Paste is fine but sugar content is very high. Taste is very sugary.
3.0,December,2022,negative,Not very good
3.0,November,2022,negative,Product is not good quality is poor
1.0,December,2023,positive,Na
2.0,May,2023,positive,Not as effective as red one. Low freshness than red.Good for who want moderate menthol.
3.0,October,2022,positive,Average
3.0,August,2022,positive,The product quality was fine
2.0,February,2023,neutral,Not value for money product. Use patanjali which is far better than Colgate.
1.0,October,2023,neutral,Don't buy it
1.0,August,2023,neutral,Expiry date is in very near month.
1.0,July,2023,negative,"Delivery box was packed fine, but when it was opened then we found that Colgate box seal was broken, not sure if we rely on it"
1.0,August,2023,positive,Only one pack of 150+150 received not 600gm
3.0,February,2022,positive,Very strong flavor it has
2.0,January,2023,neutral,Not Bad.
1.0,August,2023,negative,Not the best toothpaste
3.0,September,2021,positive,Can go for it as flavor and freshness is good
3.0,May,2022,positive,very good
1.0,August,2023,positive,
3.0,May,2021,negative,From upside it was well package but insides product was very loose and leaking.
1.0,September,2023,negative,Not Good
3.0,February,2022,positive,Good
3.0,August,2021,positive,
3.0,December,2021,positive,I like this product
1.0,July,2023,positive,NO LONGER FRESHNESS AS IT IS CLAIMED.
3.0,August,2021,negative,That is why i did not like it
1.0,July,2023,negative,Test is not good
3.0,June,2021,positive,SLS & flouride content
1.0,June,2023,negative,Overpriced and quality not much satisfied
1.0,January,2023,neutral,Out of two toothpaste in combipack i received  only one.How should iclime for another toothpaste.Some cheating is done by product  warehouse.Package is in sealed position. Nothing tear.Plz help what to do.
3.0,July,2021,positive,Good
1.0,May,2023,negative,Not good to taste
1.0,March,2023,neutral,I do not understand why this product has been introduced in the market.
3.0,October,2020,positive,I feel it should be more creamier.
3.0,July,2020,positive,Product is good but packing and shipping charge is too high
2.0,January,2022,positive,One year old packing items rec'd.
3.0,March,2021,positive,Ok
3.0,September,2020,positive,Good but can be better
3.0,September,2020,positive,Very good
3.0,August,2020,positive,The product nice
3.0,February,2019,negative,Well Honestly Colgate is not good for our teeth. It has chemicals . our neem stick is best
3.0,August,2020,positive,Not bad
1.0,April,2023,positive,
