Stars,Month,Year,Sentiment_label,Review_text
3.0,July,2023,negative,"Not worth the money ,bristles are not as soft as mentioned ,could’ve got a better buy in lesser amount !"
1.0,August,2023,negative,The brush cannot be for tooth. It is apt for scrubbing the toilet floor. I would request to delete this brush from the list of Amazon. Please return my money.
2.0,January,2024,negative,Highly overpriced
3.0,August,2023,positive,Avarage
2.0,September,2023,neutral,Not functional
2.0,September,2023,positive,Very soft
1.0,September,2023,positive,SMALL AND NO DIFFERENCE ALL TOOTH BRESH .WAST OF MONEY
1.0,July,2023,negative,Brought it offline...bt way too overpriced..... worthlessBetter buy a 50-70 rs toothbrushNot worh*Do not buy*Do not
,October,2021,negative,"No me llego el color solicitado, el producto es bueno pero no cumplen con lo que muestran, los tiempos de entrega fueron muy satisfactorios llego un dia antes de la fecha"
,December,2023,negative,"Verwende sie schon länger.Bei einer Chemo braucht man eine weiche Zahnbürste, weil die Schleimhaut empfindlich ist."
,January,2024,positive,small and pricey
,on,20,neutral,I’ve never seen this package before ?? it’s something so personal that I’m afraid to use it.
,on,24,positive,"These Curaprox toothbrushes are not all that bad as far as toothbrushes go! The only real complaint I had w/ the brush is the fact that the individual bristles seem to either break off or just fall out!I did like how soft the brush itself is!That makes it nicer on the teeth and gums!And I even liked how ergonomic the brush was and how it felt in my hand!So, if not for the issue of losing the bristles I think this brush would offer tremendous value for the money!But because of that I give the Curaprox toothbrush 3 stars!"
,on,14,neutral,"It’s extremely accurate when they say it’s soft, however it doesn’t really clean your teeth it more feels like a little polish. I don’t recommend it’s just overall not doing what it’s supposed too."
,October,2023,negative,I ordered this on by mistake. I had meant to have ordered 5460 which is ulta soft.
,on,15,negative,"This isn't special. Maybe it's my fault. I was hoping for a super, surprisingly - soft toothbrush. It's just an overpriced, basic soft toothbrush. Mine was purple with yellow bristles. There really isn't anything else to say. Don't get your hopes up!!"
,on,18,neutral,"Orange works as well as white, but I wouldn’t have ordered it if I had known I wasn’t getting the color I preferred.  Too much hassle to send back.  I’ll save it to use when I eat citrus."
,on,22,positive,Toothbrush is effective as described BUT the ALL-IMPORTANT image in the Ad was of a blue brush with white(ish) bristles.  Received a Green Pea-Soup-colored brush with bright orange bristles.  Every time I brush my teeth I think of Shrek grinning after eating a bag of cheetos.  Just make sure the photo of the item matches what's sent.  Makes me more hesitant before ordering something else.
,on,4,negative,"This toothbrush is definitely one of the softest but is awkwardly small :( I don't know if it's because I have a big tuft mouth or what, but the toothbrush is too small for me! Still gave 3 stars for softness and quick shipping!"
3.0,November,2023,negative,Not worth the price.  We could do with other Indian brands which are sub INR 100.
,April,2023,negative,"Qualité prix laisse a désirer , tenir compte du transport pas bien indiqué ! Plus chère que l'achat"
,June,2023,negative,"I like this toothbrush and ordered from online before, always nice product and cute colors like the product photos..Very disappointed to receive a brown toothbrush ??????I guess they got extras this weird color & send to online shoppers,  because who wants a brown toothbrush? Can't imagine a worse color for a toothbrush.For this reason I don't think I'll buy these online again"
,October,2023,positive,???????????????????????????????????????????????????????????
,January,2024,negative,"Ich habe mittlerweile alle Curaprox genutzt, mit Begriffen wie Soft, Super Soft und Ultra soft wird impliziert, dass diese besonders weich sind, wobei erst die ""ultra soft"" als weich bezeichnet werden kann. Die CS 12460 Velvet mit angeblich 12460 Bosten setzt nochmal einen drauf und ist jetzt wirklich angenehm weich.Für Personen mit freien Zahnhälsen und empfindlichem Zahnfleisch daher eigentlich top.Auch die Ergonomie passt.Warum also nur 2 Sterne?Nun, Curaprox wirbt, dass die Zahnbürste deutlich länger hält wie herkömmliche Bürsten, da sich die Borsten nicht mit Wasser vollsaugen.Leider verkleben die Borsten bei mir aber nach jedem Putzen im mittleren vorderen Bereich.Was nutzen also 12460 Borsten, wenn 1000-2000 davon verkleben und ein ""Klumpen"" sind?Genau, gar nichts.Ich kenne das Problem schon von der 5460, nach jedem Putzen versuche ich den Klumpen mit einem spitzen Gegenstand zu lösen, dabei verliert die Bürste dann aber auch einige Borsten.Am Ende hält die Bürste dadurch dann auch nicht länger, da logischerweise irgendwann ein ""Loch"" entsteht...Wegen offenen Zahnhälsen muss ich sanfte Zahnpasta nutzen, ich nutze die handelsübliche ""Sensodyne multicare"".Mein Vater nutzt die selbe Bürste mit einer anderen (gröberen) Zahnpasta und hier passiert nichts.Kann also durchaus mit der  Zahnpasta-Kombi zusammen hängen.Doch was bringt eine weiche Zahnbürste, wenn man dafür stattdessen grobe Zahnpasta nutzen muss?"
,on,12,negative,"Just making sure that others are aware that the ITEM COLOR IS RANDOM. The product page only subtly mentions this in one place, so I missed it. I thought I was going to get the Green/Grey (which honestly was half the reason I bought it) because the specs section says Green, but instead I got Baby Blue/pink. Kinda bummed, but I guess I should have read the whole product summary more closely."
,on,22,negative,"I have been using an electric toothbrush for 10 years. I have recently been concerned that it has been causing my gums to recede. My mom's dentist told her about Curaprox toothbrushes, so I thought I would give them a try. I bought the 5460 one (that I haven't yet tried) and this 12460 (that I have tried).I *do* believe that the denseness of the bristles helps clean your teeth better, and initially I was very happy.But I don't know if it's the toothbrush, or if I pressed too hard, but some bristles pop out they extend past the top of the toothbrush — and these stray bristles make it seem like you have plastic bristles caught on your tongue, in your mouth, etc.. This started happening after 6-7 brushes.The thought of accidentally ingesting these plastic bristles is incredibly stressful. It is like the complete opposite of what I am trying to do. As a result of this, I have decided to buy boar-hair bristle toothbrushes. Although I am usually vegan, I am fed up with plastic. I am returning this."
,May,2023,negative,??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
,February,2023,negative,????????????????????????????????????????????????????????????????????????????????????
,January,2023,negative,?????????????????????????????????????????????????????…??????????6L?????????????????????????
,July,2023,positive,?????????????????????????????
,December,2023,negative,?????????????????????????????????????????????????????????????????????????
,on,5,negative,I wanted a battery powered toothbrush. No big behemoth that oscillated at a gillion times a second and hand all kinds of bells and whistles. Just a toothbrush that would vibrate and be easy on the gums. The description states :  Power Source  Battery Powered.  I figured it must have a aaa battery in the handle and thought it was a good price so I ordered it. Voila !!!  It doesn't take a battery!  It isn't battery powered! Furious.I guess the lesson learned is to contact the seller BEFORE ordering ANYTHING on Amazon. This isn't the first time this has happened. Also tired of getting items that don't work as described (blacklight to detect cat urine that doesn't detect a thing). Waste of time and money to have to travel to a drop off location.
,October,2022,negative,"Diese Curaprox hat enttäuscht gegenüber der mit halb so vielen Borsten. Die ist billiger, haltbarer und besser in der Reinigungswirkung. Mehr Borsten sind also weniger Qualität und kosten mehr."
,on,16,negative,"I use curaprox 5460 ultra soft for many years and I'm a big fan.  I bought this one because I only wanted one unit instead of three or more, as I buy the other one.  I was totally disappointed.  It spoiled in a month, the quality is very bad."
,March,2022,positive,Bürste war bereits abgenutzt obwohl Originalverpackt. Weiß nicht ob es ein Produktionsfehler war. Geht auf jedenfall zurück. Preis ist extrem hoch für diese minderwertige Qualität.
,December,2021,negative,"?? Mir gefällt:- Gute Reinigungsleistung- Sanft zum Zahnfleisch- Kleiner Bürstenkopf, so dass man auch die hintersten Zähne sehr gut erreicht?? Mir gefällt nicht:- Mit 6,99 Euro ist mir die Zahnbürste viel zu teuer- Der Griff ist nicht ergonomisch, liegt mir nicht gut in der Hand- Der Bürstenkopf ist der Umwelt zuliebe nicht austauschbar? FAZIT:Auf die knapp 7 Euro teure Zahnbürste war ich wirklich gespannt. Bei Lieferung sah sie wie eine billige Zahnbürste aus, aber davon sollte man sich nicht täuschen lassen. Ich hatte noch nie eine so weiche Zahnbürste und die Reinigungsleistung ist besser als bei anderen Handzahnbürsten, die ich bisher genutzt habe. Wenn sie nicht so teuer wäre, würde ich definitiv nachkaufen. Da man die Zahnbürste alle 4 Wochen wechselt, wäre es toll, wenn der Hersteller hier mehr an die Umwelt denken würde."
,December,2021,positive,"Die Curaprox CS 12460 velvet  Handzahnbürste gibt es wohl inmehreren Farben, die man aber nicht aussuchen kann.Ich habe eine Zahnbürste in grau bekommen.Der Zahnbürstenstiel ist ganz gerade, die Ecken sind abgeschrägt und eigentlichliegt die Zahnbürste ganz gut in der Hand.Die Bosten sind alle gleich lang, der Bürstenkopf ist nicht sehr groß aberauch nicht zu klein. Die Größe ist ok.Die Bosten sind aus Nylon, und das ist sehr, sehr weich. Wer gereiztesZahnfleisch hat oder sonstige Probleme, z.B. nach einer größeren Zahn-OP,der ist mit dieser Zahnbürste gut bedient.Da ich das alles nicht habe sind mir die Borsten viel zu weich.Auch der Preis mit 7 Euro ist mir zu hoch für eine Zahnbürste, die ich jedenMonat wechsle."
1.0,November,2022,negative,"The model in the video discription is well above the age of 18 and the discription says the product is made for every one above the age of 5. Which includes adults as well. However this brush is not made for adults. The head of the brush is too small for adults. If i were to buy it from a local store I'd not buy it! Given that I could visually compare it to other toothbrush. But since this is an online shopping website. Such comparisons cannot be made by the customer. In which case it's on the seller to vividly & clearly discribe the size of the head of the toothbrush. And provide a visual comparison in photo discription. For a toothbrush that's 500 INR, I'd expect more transperency. This is utterly misleading! And not acceptable. Period!"
2.0,November,2022,negative,"Didn’t open the brush for a long period. When I did, I realised the brush is really small for children not for adults."
1.0,June,2023,negative,"The bristles are spoilt and spread in just one use, very bad experience with this purchase."
2.0,September,2020,negative,This is my third curaprox toothbrush but this time i got disappointed. The size of brush is too small. Probably its a kid’s toothbrush and there is no exchange or return option available
1.0,March,2023,negative,Its not meant for adults Also it doesn’t clean well because its so small
1.0,March,2019,negative,This product is not returnable is very small as compared to the picture mentioned. Do not order this product please. Amazon service is zero now.
,July,2023,positive,???????????????????????????????????????????????????????????????1??????????????
,August,2016,negative,"Ich benutze sonst immer die ""normalen"" Curaprox Ultrasoft und bin super zufrieden mit denen, insbesondere schätze ich auch den kleinen Kopf. Hier hat das allerdings eher das Format einer Kinderzahnbürste und ist so klein, daß ich das Putzen damit als unnötig beschwerlich erlebe. Habe auch extra nochmal nachgesehen ob ich versehentlich eine Kinderbürste bestellt habe, aber es scheint keine zu sein. Werde wohl zu den ""normalen"" zurückkehren."
,August,2023,negative,??????????????????????????????
,January,2023,negative,????????????????????????????????????????
,September,2021,positive,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
,January,2021,positive,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
,May,2020,negative,??????????????????????????????????????????????????????????????3?????????????????????2?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
,January,2021,negative,??????????????????????????????????????????????????????????(????)???????????????????????????????????????
,October,2020,negative,?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
,October,2020,positive,?????????????????????????????????????
,November,2019,negative,Questo spazzolino è da bambini. Molto piccolo non per adulti
