Stars,Month,Year,Sentiment_label,Review_text
3.0,October,2023,positive,Good taste
1.0,February,2024,negative,Don't buy this product this is not Appu the mark the tube has lots of water due to which it is very thin as a result you have to waste your money. I recommend Dabur and Patanjali toothpaste  which is better than this in every respect.
3.0,November,2023,neutral,I am not buying this anymore
3.0,August,2023,positive,It's good value of money
3.0,July,2023,positive,It is power full for me
2.0,July,2023,negative,I am using this product for long. But quality is compromised now. Density of product was decreased. Next time I will change the brand.
3.0,September,2022,positive,?????? ?? ?? ???????? ?????? ??? ??? ???????? ???? ?? ???? ???
1.0,October,2023,negative,Not good product it's average
1.0,September,2023,negative,Mouth ulcer
3.0,April,2022,positive,Good quality . Bad packing
3.0,March,2022,positive,good
2.0,July,2022,negative,I don't like thisMy teeth goen sensetive after use this.
1.0,July,2023,positive,Only one qty. ReceivedInstead of 2
3.0,June,2020,negative,Delivery charges are abnormal considering the cost of the product.
3.0,January,2021,negative,Did not like this product.
3.0,January,2021,positive,Nice product.
1.0,September,2022,negative,"Presented as a natural toothpaste, but made with the usual toxic and teeth harming substances like fluoride, glycerin, etc., etc.A misleadingly marketed awful product."
1.0,December,2022,negative,Still im bleeding after the use of 2 packet.....cheating us .if you have bleeding please go to a doctor.....
3.0,July,2020,positive,Ok ok
3.0,February,2019,positive,Quality wise it’s good but more than half of package is filled with air
1.0,April,2022,negative,I have received my toothpaste without cover. I mean without packet. The paste is in big pack with my another order item(Hand wash). So I am not pleased with this delivery process. Plz. Take care about customers' product. Otherwise I never order again.
1.0,June,2022,neutral,"Tastes like bubblegum, doesn't have fluoride so dangerous for cavity prone people. Doesn't have refreshing effect. It's just cheap useless so called toothpaste."
3.0,November,2019,positive,Good product..
3.0,October,2018,positive,VERY NICE TOOTH PASTE. HELP FOR TOOTH SPECIALLY FOR THE ODOUR OF MOUTH.
3.0,September,2019,positive,Not bad
3.0,October,2019,positive,Good
3.0,August,2018,positive,Nice smell but not long lasting n as fres as others brand value for money
3.0,April,2018,positive,I paid this item Rs 139 but original MRP of toothpaste is Rs 131
3.0,August,2017,positive,It has a typical herbal flavour. It has no distinct smell but a different flavour like that of our traditional 'manjan'.
3.0,March,2019,positive,Good product. Totally veg. item.
3.0,June,2019,positive,Ok ok product
3.0,November,2018,positive,Very  good  products by himalaya
3.0,December,2018,positive,Himalaya as usual good product
1.0,September,2022,negative,"Firstly, stop selling this useless product."
1.0,October,2022,positive,Just Ok
3.0,May,2019,positive,Ok
3.0,December,2018,positive,Nice
1.0,October,2022,negative,Not useful
3.0,December,2018,neutral,Not too sugary
3.0,October,2018,positive,Taste is very good
3.0,November,2018,positive,Ok
3.0,October,2018,negative,Not so good
1.0,August,2022,positive,???? ????????
3.0,September,2018,positive,Good result
3.0,August,2018,positive,Good product
1.0,January,2024,negative,?????Worth Not To Penny.???? ?? ?????..... ?????...Worst Product??? ?? ?????? ?? ? ?? ???? ?? ?? ??????? ?? ???? ??? ??????
3.0,September,2018,positive,ok
2.0,January,2019,negative,Too bad.. not perfect quality..When pressing. Coming out like liquid. First time I felt bad from Amazon product.
3.0,May,2017,neutral,Doesn't found any thing which made it of this price.
1.0,September,2018,negative,The product is not aayurvedic.I used two different toothpaste in both time after using I was feeling dizzy and sleepy.  It seems like Babool and flouride used in this toothpaste is more than adequate quantity .that makes teeth ache even if there's no tooth ache problem.there are side effects of using this product
3.0,July,2017,negative,Not is bestOverall good
3.0,March,2018,positive,good
3.0,August,2017,positive,Good to use
1.0,November,2021,negative,its unsealed
2.0,December,2017,negative,I didnt liked itIts too sweet like colgate and is not effective so muchI am not going to buy it again
3.0,June,2017,positive,Its ok
2.0,October,2018,negative,It's taste not good
1.0,November,2023,negative,This toothpaste is loaded with Sodium Laural Sulphase. It is the same material as your dish wash bar and detergent. Now imagine what this will do to your gums.
1.0,May,2021,positive,Over priced
1.0,October,2018,negative,I got this just now and the tube inside the package was like this. It was already leaking. And sad part is that it can't be returned or exchanged.
1.0,May,2018,negative,"Packaging is really bad, anyone can change the original product easily.. I mean there is no brand seal or assurance mark of originality. At least its cap could have been fixed with brand tape for assurance."
2.0,August,2018,positive,Okay
1.0,November,2023,negative,Cheated toothpaste..see it's ingredients.  Looking like a ayurvedic toothpaste. It's ingredients is bad for our body. Please don't buy this
2.0,February,2018,positive,Not bad
2.0,November,2017,negative,My mouth got rashes
1.0,February,2019,positive,The product was good previously but now it doesn't look like paste but it's like liquid.
1.0,March,2020,positive,Fake product
1.0,December,2018,negative,"1 out of 150 g (Pack of 2) tube was damaged completely,"
1.0,June,2019,negative,"Somewhat defective batch, mouth burning"
1.0,July,2019,positive,value of money
1.0,January,2019,neutral,No saving. Same price as shop..
1.0,June,2019,positive,good
1.0,June,2019,negative,Not benefit
1.0,June,2019,positive,good
1.0,March,2018,positive,"I have received Oct 2016 manufactured product, nearest shop I will get 2018 products"
1.0,October,2018,negative,Paste is outside when opened ...
1.0,November,2018,negative,I have received damaged product
1.0,August,2017,positive,"It is OK but not useful for long use like Colgate sensitive+,teeth starts pain with long use"
1.0,January,2018,positive,Good for nothing.... Not effective as per brand of Himalaya
1.0,November,2018,negative,Damage product
1.0,December,2018,positive,Nice
1.0,November,2018,positive,Ok
1.0,October,2018,negative,Damaged
1.0,August,2018,negative,Doesn't taste good
1.0,August,2018,neutral,No taste.
1.0,May,2023,negative,Mein Himalaya ka paste order Kiya tha or 2 pack me 4 paste hone the but 3 paste received hua hai or ye fraud kr rhe hai sab kr sath
1.0,May,2018,negative,Not good
1.0,March,2018,negative,Tastes really bad.
1.0,August,2017,negative,It has also fluoride. don't buy please
1.0,November,2017,negative,not good
3.0,October,2018,negative,"Sensitivity a problem with it ,so first please remove chemicals, also the usual whiteness not occur, so please check quality"
1.0,September,2017,positive,Waste buy
1.0,August,2017,positive,Faltu
3.0,September,2017,neutral,Not settisfied
1.0,December,2017,negative,"Switching over to this product was one of the bad decisions I took for my teeth. Within a week, my milk teeth started turning yellow. I wanted to try an Indian brand and this was the result. So I immediately changed my toothpaste to another (Indian brand, not Patanjali). and yellowness was gone.This paste is really ineffective in cleaning"
1.0,November,2019,negative,waste toothpaste.. its gives me tooth ache
1.0,December,2019,positive,Ok
2.0,October,2018,negative,"Quality is very poor,, not genuine ayurvedic product"
2.0,July,2017,positive,Seems duplicate. The product purchased for my Kolkata address foams well and has good taste but this one neither does foam nor taste good. ? noticed this when I went home again amazon disappointed me.
3.0,December,2023,positive,average
3.0,June,2023,positive,A good product from Himalaya! Hope they make it mintier if possible!
3.0,May,2021,negative,"Personal experience - my mouth felt fresh for 2 - 3 hours of using them and the scent also vanished by that time. I didn't see any increased ""whiteness"" in my teeth as this supposed to be Sparkling White toothpaste."
3.0,September,2022,positive,It is good
3.0,August,2020,negative,I got this seeing the name sparkling white. Have been using this since alomst 3 months and I have not seen any difference.I would prefer to go back to herbal paste and they taste good and thy have many condiments blended into it.Unless you wish to try you could buy it. Although it does not appeal to me.
3.0,November,2021,neutral,"Can't see any visible change in colour, stars given fr freshness n taste"
3.0,August,2021,positive,product is good but price is high.
3.0,April,2021,positive,Box fata hua tha paste ka dhakkan bhi khula tha
3.0,September,2020,positive,Product is good but the packaging quality is not soo good....
1.0,September,2020,negative,"Worst experience. After couple of brushes developed sensitivity which only got rectified after I changed the paste. Everyone in the family developed tooth issue after using the paste. Never had any issue with teeth before using this paste, thankfully, it got sorted after I changed the paste.Himalaya has stooped to a new low in quality. Avoid at all cost. Never in my life I am going to buy Himalaya paste again.Now I'm stuck with a one full tube and one partially used. Bogus product."
3.0,February,2020,negative,It's not so good value for the money better quality is available
3.0,January,2021,positive,Not bad
3.0,October,2020,positive,as usual a toothpaste
3.0,July,2019,neutral,it is not like complete care from himalaya. i dont like this. not a sparkling white
3.0,August,2020,negative,Damages packing
3.0,October,2019,positive,Expect a better one
3.0,August,2018,negative,"Product and shipment are very good but MRP is 149/- , pay Rs 159/- this is very bad."
2.0,July,2020,negative,Not good flavour and don't feel fresh after brushing teeth I think wastage of money I like green colour toothpaste of Himalaya I want that one but by mistake I ordered this one
3.0,October,2019,negative,Not so effective
2.0,August,2020,negative,Useless paste  waste of money .it's not help teeth whitening.Dabur red paste and colgate cibaca paste better than this
3.0,June,2017,neutral,"Definitely does not give sparkling white teeth, but the paste is definitely sparkling white and does a decent job."
3.0,October,2019,positive,"Taste is ok, freshness missing."
3.0,September,2017,neutral,The product is not as per expectations. After using for ten days I switched to other product
2.0,March,2020,neutral,Using for last 2 months but no results seen uptill now.
3.0,September,2019,neutral,Normal.
2.0,June,2017,negative,This toothpaste is not that good. It doesn't provide freshness after brushing because it doesn't contain mint or any type of coolness providing substance. You won't feel fresh and cooling sensation in your mouth and throat after you brush your teeth from this toothpaste. Instead buy Pantanjali DantKanti. It is far more better than it.
1.0,May,2020,negative,Wrong product delivered and now you say it is not eligible for replace or refund. Have asked for only sparkling white tooth paste without any additional flavor. Product delivered is papaya & pineapple enzymes.
2.0,August,2020,neutral,Doesn’t leave fresh taste
3.0,May,2018,neutral,It just refreshes mouth but not whitening teeth.
2.0,January,2020,positive,so so
2.0,October,2020,positive,Good
1.0,March,2020,negative,Worst taste... Freshness last few hours .. Last 2-3 hours.... Not good for gum fight and sensation problem... Colgate brand is very good as compared any other brands in this category....
1.0,November,2020,negative,"I can feel the void inside, it's kinda scam.. they are not giving with full net wt as they say."
1.0,July,2020,negative,This toothpaste is not better for teeth cleaning and strong purpose I mean this is not better for health reasons
1.0,November,2018,negative,"Hi there,Just now I have received himalya thootpest. As per detail the package will contain 2 tubes of thootpest but when i opened the item there was only one tube of pest there in the pack. Please do the needful ASAP.Eshan"
3.0,July,2017,positive,Good Paste
3.0,June,2017,positive,Standard product
3.0,August,2017,positive,Ok
1.0,July,2020,neutral,"From some source knew that,chandan has no expairy,our home puja Mandir's chandan telling that unless it was mixed."
3.0,June,2017,positive,Its ok
1.0,October,2020,negative,the paste is very bad. Not at all good. i will never purchase in my life time. i won't recommend to anybody.
1.0,July,2021,negative,Paste is waste
1.0,October,2020,negative,"Well, this ain't a herbal product. It has chemicals inside it like SLS etc. Would never purchase this again."
2.0,October,2018,positive,Good
1.0,July,2020,negative,Product damage. Waste of moneyI have give no rating this product
1.0,May,2021,positive,bekar
2.0,July,2018,negative,Disliked
1.0,October,2020,negative,Damaged box received & paste is dried.
