Stars,Month,Year,Sentiment_label,Review_text
3.0,August,2023,positive,Good
1.0,February,2024,positive,Very hard and rough bristles
1.0,February,2024,negative,Brush is very hard.
1.0,January,2024,positive,Very hard
1.0,January,2024,negative,"The bristles are hard, not soft.Disappointed with my buy and I bought 8 toothbrushes, sadly!!"
1.0,February,2024,positive,
3.0,August,2022,negative,"Wishing few weeks, it looses smoothness and its effectiveness.That’s the reason they give you four because it does not last good."
1.0,September,2023,positive,Didnt like quality. Received hard bristle in packaging of soft bristle
1.0,November,2023,positive,Bad quality
1.0,March,2023,negative,"These toothbrushes are far from soft. There isn't 1 part of this toothbrush that is soft.For those of you with sensitive gums or teeth, I would not recommend this. I was completely shocked at how hard this product was. I had to give the rest of the pack away, and now I'm searching for an ACTUAL soft toothbrush. I'm quite disappointed with Oral B."
3.0,June,2022,positive,Good
3.0,January,2022,neutral,"Not at all durable, but the bristles are soft"
3.0,June,2021,negative,The side rubber-bristles are hard.The bristles are not as soft as i would like it to be.
2.0,March,2021,negative,I had used it once before but it had cups in between which used to support the bristles. This time the toothbrush didn't have the 'cups' in between the bristles and within a month of use bristles jave lost their shape.
3.0,October,2020,positive,Average
1.0,August,2022,neutral,It's not a soft tooth brush.. Very hard surface.. You might be get a bleeding while brushing.. Don't buy it
1.0,November,2022,positive,Very hard bristles..purchased seeing good reviews..I started bleeding from gums
3.0,July,2023,negative,Its super hard bristles and it hurts when you brush and its really painful to the gums not a good product
3.0,September,2019,positive,Very hard material
1.0,November,2022,neutral,Product is not received as per order picture
1.0,May,2022,negative,Received with damaged packing. Bristles of one brush are damaged & not fit for use.
1.0,December,2021,negative,"Oral b has to know the meaning of softness, gums starts to bleed. Now I use these brush to clean my bike chain"
1.0,October,2022,negative,Very poor quality
3.0,February,2017,positive,"Helpful in keeping the teeth clean from plaque, tartar, and discoloration but does not last long!"
3.0,October,2016,neutral,It's ok but not great. Better options are available in OralB so go for that.
1.0,July,2022,positive,Too much hard
2.0,August,2019,neutral,Not as described.
3.0,October,2017,neutral,Don't buy
3.0,October,2017,positive,Good but so
1.0,September,2021,negative,Too hard that your teeth will come out
1.0,December,2021,negative,Brush is extremely hard not even fit for wasihing shoes
1.0,April,2022,positive,Waste money
1.0,June,2018,negative,One of the worst tooth brush I have ever used in my life..side bristles are very hard that whenever I brush it used to hurt my gums..because of these I developed gum bleeding ..now shifted back to Colgate sensitive which is very soft on gums and same way we can rub hardly on teeth where it does not hurt gums.
3.0,January,2018,positive,okay product.
1.0,November,2021,neutral,Doesn’t meet expectation. Gums start bleeding
1.0,October,2020,negative,It very bad product it price showing rs150  but actual price printed on the packet is rs70.
2.0,July,2019,positive,Average
3.0,January,2017,positive,Good buy in deal
3.0,April,2017,positive,Ordered soft received medium....
1.0,April,2021,negative,Dot bay because not soft is very hard
3.0,January,2017,positive,Good product
3.0,February,2017,positive,Good
1.0,May,2021,negative,It hurts the gums.
3.0,November,2016,positive,Good
1.0,January,2021,positive,Product is Okie
1.0,June,2020,negative,Severely damaged packaging . Not in useable position.
1.0,April,2019,negative,I have ordered for Buy 2 Get 1 free. But i received only 2 pcs. Free1 piece not delivered.
2.0,April,2017,negative,"Not a great one, average product."
1.0,May,2020,negative,Wrong product delivered..
2.0,January,2017,neutral,Bristles are not smooth enough
1.0,February,2018,negative,I didn't like this brush. Almost daily I get blood from my gums while brushing with this. This brush isn't soft.
1.0,October,2019,positive,Bakwas
1.0,March,2018,negative,Very bad quality. Got worn out on few uses. Doesn't seems original.
1.0,July,2018,positive,Bad quality
1.0,February,2018,positive,Within a month became 'phat k flower'
1.0,November,2017,negative,Charged Rs 170 against MRP of Rs 150
1.0,May,2018,positive,Superb
1.0,August,2017,negative,high cost but not good product
1.0,November,2017,positive,Very hard
1.0,December,2016,positive,Worst product i have ever bought in my life :(
1.0,August,2017,negative,Its too soft
1.0,August,2017,negative,not good.
1.0,April,2017,negative,Very very hsrd brisels
1.0,March,2017,negative,Very very hard bristles..
1.0,October,2016,negative,Very poor quality
1.0,August,2016,negative,very worst.
1.0,April,2019,negative,"Fraud,I have ordered 4 pieces for 119 as shown in the picture,But received 2 pieces pack,Too costly (("
1.0,July,2023,negative,"I ordered this considering it mentioned Extra-soft, but it is very hard and not comfortable to brush. Seems like a duplicate product to me. Not recommended to buy."
2.0,March,2019,neutral,Doesn't seems to be original
1.0,March,2022,negative,"Even when i ordered soft toothbrush and packing says so, actually bristels are very hard.So I can only guess that product is not genuine"
3.0,November,2023,neutral,"I want super soft brush, with plain shape, not JigJag"
1.0,February,2024,negative,Brush looks beautiful but the quality is very poor. The bristles are extremely hard.
3.0,November,2023,positive,Average product.
2.0,January,2024,negative,After first use Brussels became hard.
3.0,August,2023,positive,The product package says it is soft however you will be surprised to find that it's not soft it's really hard. Coalgate soft brushes are good comparatively
1.0,January,2024,negative,Better to use it to scrub wash basin. It's going to scrub off the enamel of your teeth. And it's called soft in description. Wastage of money
2.0,September,2023,negative,"The tooth brushes are hard and can't be termed soft in any way.  To make matters worse,  the compulsion to buy two in nos. is a waste of money."
1.0,February,2024,negative,Not worth the quality.
3.0,October,2022,negative,I ordered this brush pack for me and my family. But the brussels are quite hard. I though they are a Lil soft but this is not suitable for my teeth. Sorry but not recommended.
3.0,December,2022,negative,"Though it's labelled as a soft one , it got hardened within a couple of days and now feels like a medium"
2.0,August,2023,negative,It is too hard.
2.0,August,2023,positive,Nice
2.0,June,2023,negative,"The bristle are hard, not soft. Can sratch gums. Not useful for sensitive teeth and gums."
1.0,December,2023,negative,Waste of moneyQuality bad
1.0,October,2023,negative,"It's so hard, didn't expect this hardCan't suggest for seniors or childrenNot a penny Value for money"
3.0,November,2022,positive,Super hard
1.0,December,2023,neutral,Not soft. Hard
1.0,October,2023,positive,"Worst quality toothbrush, soft toothbrush is harder than medium toothbrush"
3.0,September,2022,positive,Good
3.0,July,2022,neutral,not for very sensitive teeth and gums..
1.0,July,2023,negative,These are nether soft nor has anything to do with Neem. The brush caps are bad and don't fit.Minimum order qty has 2 packs.Disappointed with Oral B
1.0,August,2023,negative,If you want soft bristles don't go for at
1.0,June,2023,negative,"Third class toothbrush. Very hard, not meant for humans. Buy only if you have a tablela and will use it on cows"
2.0,October,2022,neutral,These are sturdy but not soft at all. Do not buy if you need soft bristles
2.0,October,2022,neutral,"It's not soft brush, it's a medium or hard.ni soft bristels"
3.0,July,2020,positive,Because its oral-B I thought it will be good. But the brush is really hard. It is okay if urgent
2.0,June,2022,negative,Strong bristles on toothbrush.The quality of brush not good due to low price of product
1.0,June,2022,positive,
1.0,July,2023,positive,Pathetic
1.0,June,2023,negative,The bristles are corrugated.
3.0,July,2020,positive,"It will not last long, hardly one month."
2.0,March,2022,positive,Poor quality
1.0,March,2023,negative,The brush is too hard...It is not soft as mentioned in description/Name.
3.0,January,2021,positive,Nice
1.0,June,2021,positive,
1.0,May,2022,neutral,This is more like medium and the head is big like most Colgate ones.I liked oral b brushes for the small heads but this sure is an outlier.
1.0,March,2023,negative,Very bad quality..
3.0,June,2019,negative,Brush quality is not very good.
3.0,April,2019,positive,Average...same rate in market
1.0,August,2020,negative,Felt totally cheated. I ordered for a soft brush and got the hardest of hard brushes. My gums hurt and teeth enamel is  wearing out. Is this even oral b? I doubt. And there's no exchange too. I bought two packs which will go wasted. Will never buy these again
1.0,September,2022,negative,It is hard brush and no softness ??
2.0,July,2020,negative,It makes ur gum bleed. Not soft bristles.
1.0,November,2022,positive,Very hard bristles.
1.0,October,2022,positive,Average Product
1.0,October,2022,positive,
1.0,September,2022,negative,Very bad
1.0,September,2022,negative,Not good
1.0,March,2022,negative,Hard bristles which hurts the gums
1.0,May,2022,negative,Too worst
1.0,April,2022,negative,Dislike
1.0,August,2021,positive,very hard and 3rd grade quality product.
1.0,March,2021,positive,Product comes only 3 not 4 so I am returning it
1.0,April,2021,negative,Bristles are too hard
1.0,April,2020,neutral,It's not soft at all.It's
1.0,November,2020,negative,Don't buyWaste of moneyDon't buyThey are making fool for neemDon't buy againDon't buyDon't buy
1.0,November,2021,negative,"As many said its not worth the money, brush is not soft at all as I used different brushes of Oral B but never had this experience. They should improve on this product."
2.0,December,2022,negative,Bristles are too hard. It's not a good quality product. Pls don't buy. You can use for comb cleaning instead ??
3.0,February,2024,positive,Lower quality
1.0,December,2023,negative,Bad item. Number of bristles are less and hard. Wastage of money.
3.0,January,2024,positive,Good
3.0,January,2024,positive,Hard bristles
3.0,October,2023,negative,The product is ok but I was looking for soft brissels toothbrush where this product failed completely. This is too hard for anyone to use only people with teeth of steel can use this brush. Overall it failed my expectations
3.0,September,2023,positive,Good
3.0,September,2023,positive,Good
2.0,November,2023,positive,Hard bristles used in brush.
2.0,November,2023,negative,Package quality of the product is very bad.
1.0,February,2024,negative,The item stopped working after about 3 months
2.0,October,2023,neutral,It's bristles are not soft
1.0,January,2024,negative,"Very hard brush, feels like iron bristles can not be a toothbrush"
2.0,October,2023,neutral,No smooth
2.0,September,2023,negative,"Did not love itThe bristles are too hardSeems to be losing color, does not feel like charcoal"
3.0,March,2023,positive,Go for it
1.0,December,2023,negative,Very hard bristles. Blood came out from my gums
1.0,October,2023,negative,"The 2023 model brush was very hard , dont buy this brush if you dont want tooth pain after 1 week of usage. We 4 of them used this brush all got tooth pain after some days of usage.So I don't recommend"
1.0,January,2024,positive,
3.0,November,2022,negative,The bristles are too hard for me
2.0,May,2023,negative,"Not a good one, durability is less, and also not feeling good on teeths"
