Stars,Month,Year,Sentiment_label,Review_text
3.0,November,2023,negative,"The sensodyne toothpaste has many varients. Please see before selecting, all are not good. Sensodyne Total Care is capable of curing tooth aches and also works on sensitivity issue just like they show in their adds on TV but lacs in mouth freshness. After 2-3 days consecutive use, you may feel like haven't brushed your teeth properly. So I suggest if you have tooth ache or tooth sensitivity problem, go for it but keep another toothpaste of your choise alongside for mouth freshness and use them both alternatively every 2-3 days or if you brush your teeth both the times i.e. morning- night then you may use sensodyne in night and some other one in morning."
3.0,November,2023,neutral,"Having used this product for the past 2 months, I see no difference in the sensitivity of my teeth."
3.0,June,2023,positive,"Let’s be clear. The only reason why we buy sensodyne is if we have tooth sensitivity. Yes, it is effective to a certain extent in cases where there is minor tooth sensitivity. Anything more than that would warrant a visit to the dentist for a proper intervention.That being said, the only negative of this toothpaste is the taste. It’s not bad per se but it takes getting used to. If you consider this as a medication for your teeth it’s understandable but it still needs to have a good feel in your mouth for lack of a better word. I hope they come up with better tasting toothpastes in the future."
3.0,September,2023,positive,I find it to be a good product for sensitive teeth but the only concern is its high price. Also it came with torn 'outer pack' but not going to return as the tube inside is in good condition.
3.0,July,2023,negative,With fluoride content this tooth paste is not suitable for my teeth.After use my teeth are paining I stopped using this paste.
1.0,February,2024,negative,Use caution when using this product since it may cause your teeth to break slowly.
2.0,October,2023,positive,Price High
3.0,February,2023,negative,"Missing itemI have received only one paste , had ordered two and the voucher also shows two pastes.Please send the second one"
3.0,March,2023,positive,Good
3.0,December,2022,negative,A must use product for all those who are having pain while eating and drinking.
1.0,December,2023,positive,Worthless
3.0,October,2022,positive,Flavor and freshness tinge could be improved..whitening capability is a question mark ? Improvement desired .
2.0,August,2023,positive,Expensive
3.0,November,2022,positive,Satisfied
2.0,May,2023,positive,Good product but High price.
3.0,May,2022,negative,Will abrade the teeth. Surprised that a brand like Sensodyne is not checking toothpastes for quality.
3.0,June,2022,negative,Didn’t do anything significant for whitening or sensitivity. Expensive.
3.0,April,2022,positive,Help in tooth repair. But cost more than other toothpaste
3.0,July,2022,positive,Good product
1.0,August,2023,negative,I was delayed in wanting to use the product and missed my return-by date
3.0,February,2022,negative,good tooth paste but the cover condition is bad
3.0,July,2020,positive,"This is a well known product of very good quality. But on product price or Rs.210, Shipping & Handling charge is Rs.145 for just 100gm . The distributor is making too much money and you can not cancel or return it."
3.0,August,2021,neutral,Double the price of other tooth pastes this one does not give anything more.
3.0,October,2021,negative,Dose not work as said average pain relief
3.0,June,2021,positive,Product is good but one place it says 100 GM's and othe place 150 GM's
3.0,August,2021,positive,Using this product from last 5-6 months.
1.0,May,2018,neutral,"Useless - Very Expensive- But No Results 1. The Sensitivity issue is not even a bit reduced. Total useless 2. Guys - Please note that all sensitivity is due to food particles during night , so always use floss or Inter Dental Brush and gargle using  Betadine - (Germicide gargel Rs 150 - take very little amount -- gargle -spit )  - Very effectiveDont waste money on  this kind of Toothpaste, in my opinion all Pastes are junk,  but do watch/care the cleanliness of teeth- remove tartar , do regular cleaning with Dentists,  -- Brush before bed, after bed , Massage gums and wash, Clean with water periodically in the day  (no need of paste brush)"
3.0,October,2020,negative,The Sensodyne toothpaste cartons were found torn & damaged
2.0,November,2021,positive,Show stronger sensodyne repair & protect in figure but delivered new sensodyne repair & protect ..Kindly update ..
1.0,April,2023,positive,
3.0,June,2019,negative,This paste gives you just temporary relief ...all said things like repair are hypothetical only...was using since last 6months...not worthy at 180
3.0,June,2020,negative,It's dry from inside
2.0,August,2021,negative,"Packaging was horrible, it was in open condition , no doubt sensodyne is no 1 toothpaste, i am giving two star for packaging,"
2.0,August,2021,negative,Cap is very chip. Broken. Pest are westing due to this. Normal quality. Not works magically. Not helpful for me.
3.0,August,2020,negative,Ok..but packing is poor..
2.0,August,2021,negative,indian version is not as effective as imported one
3.0,February,2020,positive,It's fine.
1.0,August,2022,positive,Ek dam ghatiya taste aur ghatiya kaam. Es se achha Sensodyne mint flavored wala hai.
3.0,March,2019,negative,Price is high but effectiveness is not so good
3.0,October,2018,neutral,"I can't say the result will be good, but I am using. Product is much expensive"
2.0,January,2021,negative,Sensodyn damaging teeth
3.0,August,2019,positive,ok
1.0,December,2021,positive,
3.0,April,2018,negative,Seems like an old stock- as the toothpaste was all knotty
3.0,April,2019,positive,Its okey
1.0,December,2021,positive,
3.0,April,2019,positive,Good
3.0,January,2019,positive,Price very high
1.0,December,2020,negative,"I ordered it by seeing its rating but it is horrible for me. After using it for the first time, I feel more sensitivity to my teeth even while drinking water, taking air in from mouth which didn't happen before. Inner gums feel like burning. Not using it again."
3.0,October,2017,neutral,MRP is 190 and not 200 as per the price tag information.
3.0,February,2019,positive,Nice
3.0,October,2018,positive,Product quality is good
1.0,April,2021,negative,seems this is dublicate product i have received from amazon...team pls check the same and get back to us as we are going to check with gsk....
1.0,July,2021,neutral,The one which i purchased - i felt its like outdated and didn't feel the freshness also.
3.0,February,2018,negative,Not satisfied with this repair version
