Stars,Month,Year,Sentiment_label,Review_text
3.0,January,2024,positive,Product quality is very good at good price of 277
3.0,February,2024,positive,-
3.0,February,2024,positive,Good product thank you
3.0,December,2023,positive,Good product
3.0,November,2023,positive,
3.0,November,2023,positive,Feels like copy of original
2.0,February,2024,negative,Quality not good and silver paper seal not present in box. So buy from local not from this.
3.0,October,2023,positive,Good
3.0,October,2023,negative,Seals of outer and inner packages were broken/torn
3.0,August,2023,positive,It was good
3.0,September,2023,positive,Good
3.0,August,2023,positive,Good one
3.0,July,2023,negative,Product has been costly for the past few days
1.0,January,2024,positive,"1 star for hurting and supporting a particular community,"
2.0,October,2023,positive,"Both packaging and product was open, I checked the dates on each tube and found one tube was going to expire."
1.0,January,2024,negative,Not satisfied as the product will expire soon
1.0,January,2024,positive,
3.0,June,2023,positive,Budget friendly
3.0,April,2023,positive,Like the powder and demand frequently.
2.0,September,2023,negative,Quality is not so good
3.0,January,2023,positive,?? ???? ?? ???? ????? ?? ?? ????? ?? ?? ???? ?? ????? ?? ??? ???? ??? ????? ???? ?? ????? ??
1.0,December,2023,negative,Got scammed.Received only 3 packets instead of 4 packets.
1.0,December,2023,negative,Product was Unsealed
3.0,March,2023,positive,Better other than paste
3.0,May,2023,positive,Good one
3.0,February,2023,positive,Awesome product comes with awesome price
2.0,August,2023,positive,????? ?? ?? ??
3.0,February,2023,positive,
2.0,July,2023,positive,Thik hai
1.0,December,2023,negative,I waited very long and when I opened the toothpaste it's expired.. it's really disappointed ????
3.0,April,2022,negative,Better than many chemical mixed toothpastes; flavour and taste comfortable.2-Jun-2023: it was only 200 for 4x150gm bit in one year the price increased by 50% and even like offer price now is still 25% more! This is terrible. So dropped # of stars
3.0,October,2022,negative,Products ka jo box tha vo phelese hi khula tha or ae toothpaste demej thi I don’t like
2.0,July,2023,positive,Product was good but packaging was very poor.
3.0,January,2023,positive,Achha hai
3.0,December,2022,positive,Can be used for regular use.
3.0,December,2022,negative,I think not suit for me..??
3.0,August,2021,negative,"I am very, very upset about Amazon .They hold a lucky draw competitionAnd I’ve always been a winner in it but haven’t met a lucky draw even once to date.  I have been playing this tournament for three years but I have not met anything.  I have been a prime customer of Amazon for many years and I do a lot of shopping.  I'm so upset on Amazon"
3.0,October,2022,positive,Dabur products are always good. So this one is also very good to use as a daily essential.
3.0,November,2022,positive,ok for the price paid
1.0,December,2023,positive,
3.0,October,2022,neutral,Ok to buy nothing great
2.0,April,2023,positive,Sum time goodOther than price hi
1.0,October,2023,positive,"Peso k hisaab se , per piece mehnga hai"
3.0,April,2022,positive,I have got only 3 paste were is the another one paste . The best thing to buy paste only from
2.0,March,2023,negative,"Very bad taste...Colgate , pepsodent,close up are far better than this...I am never recommending this to anyone...."
2.0,March,2023,positive,It is written  150 gms x 4  but I received  100 gms. x 4
2.0,April,2023,positive,Very runny texture ??
1.0,December,2019,negative,I have been using Dabur Red toothpaste for past three years. The toothpaste is very good and effective for dental problems. However the product I bought online from Amazon in December 2019 is substandard. It has no quality as that of local store and the flavor is very bitter. The toothpaste is appearing as if it is diluted with water. It is foaming more than the original toothpaste that we get in local store.The batches product sold online in Amazon are available at a discounted price but quality and flavor is very poor. It seems that these batches are factory rejected items.Please do not buy from Amazon. Instead buy it from local store.
3.0,February,2022,positive,Dabur is a best brand but received Dabur red paste it feels like duplicate as I'm using from past 7 years
3.0,December,2021,negative,I was delivered a damaged thooth paste.it was started leaking out from back side as i pressing the thooth paste
3.0,July,2022,positive,
3.0,July,2022,positive,Best to
3.0,June,2022,neutral,Taste not same as previously buy same product
2.0,February,2023,positive,Good
1.0,August,2023,positive,Ordered 4 super saver pack combo but only recieved 2. Provide refund or replace with full pack
1.0,September,2023,negative,2 out 4 missing
1.0,October,2023,positive,
2.0,January,2023,negative,The box sealed with dabur security tape was broken.
3.0,March,2022,negative,The product is valuable to the price but the packing was toooooo bad
1.0,October,2023,negative,Not good
1.0,August,2023,negative,Not good and packaging is too old .. It was done in 2022 .. And box is open.. Even paste is spread over tube
3.0,July,2022,positive,To good
1.0,July,2023,negative,The pack said to contain 4 tubes of 200 gms paste but contained only 3 tubes of 200 gms. Paste.Supplying only 690 gms toothpaste against supposed 800 gms was highly disappointing. Feeling cheated.
3.0,September,2021,positive,I'm using dabur toothpaste for long time but it's quite budget friendly in Amazon and the packaging was good.
1.0,August,2023,negative,?? ???? ???? ????? ?? ?? ??? ?????? ???? ??????
3.0,April,2022,positive,good
1.0,March,2021,negative,"See where it is fit to be thrown!It burns the mouth seriously and creates further complications of sores too!Some reviews mentioned the burning and hence not using itSome liking it because of its burning sensationSome bearing with the burning for the first two to three months,then finding it favourite of long time,However you may choose to deal with the burning, it definitely burns and spoils the mood for the whole day and creates concern about mouth sores for a few days later, just after one use!Dabur's online report somewhere claims that everyone doesn't have the same physiology and hence toothpastes can feel differently to different people and may be even have allergic reactions to some!Well, toothpastes must suit all physiologies and if they don't, they are a health hazard and not fit to be brought to the market!The minimum legal requirement is a prominent warning about it becoming a hazard to certain types on the ads, product description and the package!In the absence of the above, see where it is fit to be thrown in!"
3.0,May,2022,positive,
3.0,August,2021,positive,"Price went down after buying.  Best value Rs.180 and less for this product. Btw, good product"
1.0,September,2023,positive,
1.0,August,2023,positive,Ismein saman kam hai
3.0,October,2021,neutral,"Its not at all blunt or rounded, it should be more poignant."
3.0,August,2020,negative,Product is great but I got a unsealed package and the quantity of the product has been compromised please don't do like this the other customers this is seriously wrong on ur side plz cross check while packaging
3.0,January,2022,positive,"Always like,Always I ordered it"
3.0,October,2021,neutral,Guds but taste not feels like original paste(offline market))
3.0,November,2020,negative,"Product is ok, some chemical like smell coming in the paste. Don't know whether it is a genuine or not. Packaging is not at all good. Cheap packing. Not upto amazon"
3.0,October,2021,negative,Tooth paste is missing not in package very poor
3.0,March,2022,positive,????????
3.0,September,2021,positive,"The product says Ayurvedic natural,, but contains somany synthetic ingredients"
3.0,December,2021,positive,????? ???? ??.??? ??? ??.
3.0,December,2021,positive,Value for money.
3.0,July,2020,positive,"OUTER POLY PACK WAS INTACT RECEIVED. HOWEVER, THE INNER CARTON OF TOOTHPASTE WAS OPENED AND PASTE TUBES NOT FRESH. THE PURPOSE OF GIFTING DEFEATED.  PLEASE SEE THE ATTACHED FILE WITH SNAPSHOT OF RECEIVED CONSIGNMENT."
3.0,November,2021,positive,It’s nice but could be nicer
3.0,November,2021,neutral,Please check it's expiry date before delivery
3.0,December,2021,negative,Not good
3.0,December,2021,positive,Good products
3.0,November,2021,positive,That quality and freshness gone
2.0,September,2022,positive,Buy 3 Get 1 free but i find only three inside the pack...
3.0,May,2021,neutral,I got the product in deal so I purchased is but I doesn't like its taste.
3.0,September,2020,negative,Weight might be low than 150gm .because paste tube end pressed 2cm from the end.And flavour is something different from local store. I notice that lower acridity (??????) .
3.0,October,2021,positive,Value for money product.
3.0,June,2020,negative,"Taste is different from the product from local store. Moreover, packaging is worst.  I appreciate your efforts to deliver the product in this pandemic."
3.0,August,2020,negative,"Product is ok.... But packaging is very bad... Just a plastic packet. Product packaging get damaged  inside Amazon's plastic packet,  and I'm lucky that the paste didn't leaked."
3.0,September,2021,negative,Flavor is not good
3.0,August,2021,positive,Good but not better than Patanjali dantkanti
1.0,June,2023,negative,Damaged the  product  non returnable  very bad Non returnable very bad and not good
3.0,November,2021,positive,Like
3.0,September,2021,positive,I like this product
3.0,March,2021,negative,The packet was torn and opened. Two of the tubes were only 3/4th full. Disappointed
3.0,October,2021,positive,Ok
3.0,January,2024,positive,Liked the taste and overall feeling but can improve a lot
3.0,January,2024,positive,Satisfied
3.0,December,2023,positive,Ok ????????
3.0,December,2023,positive,Nice
2.0,February,2024,positive,I feel it has artificial flavours compared with lever ayush clove oil paste. It has artificial clove flavour and Menthol to give freshness feeling.
1.0,February,2024,positive,Big and full of clove pics gives impression that it's very herbal and safe. Just check the side effect of few chemical in it. 1-sodium lauryl sulphate 2-sodium saccharin & sodium silicate 3-sodium benzoate 4- benzyl alcohol . Most of the chemical used in detergent have been used.
3.0,September,2023,positive,Average
3.0,August,2023,neutral,Not as per review
3.0,June,2023,positive,good product taste good freshness too don't taste neem flavor it taste too bad really too bad
3.0,May,2023,positive,"Sample was very good, but the product finally purchased was inferior in quality"
3.0,June,2023,positive,Good
2.0,July,2023,negative,I'm using this same Dabur company's Red toothpaste.but this product Clove paste is not effective its doesnt strong teeth and gums.i can feel it..its a normal ordinary tooth  paste thats all
2.0,September,2023,neutral,The paste is simple as others. No clove taste at all.
3.0,March,2023,neutral,"It's okay okay , not my usual choice."
3.0,January,2023,negative,Paste not effective as expected but right quality.
1.0,January,2024,positive,
3.0,February,2023,positive,Good
3.0,December,2022,positive,Good paste
3.0,October,2022,positive,ok but it contains sodium Laurel sulphate
3.0,August,2022,neutral,"No freshness, no visible whiteness, no improvement in dental health. I feel dabur red or colgate vedashakti are better"
1.0,October,2023,positive,"3rd grade item, clove flavour was only at starting of the paste, it is just a white paste."
3.0,August,2022,neutral,Clove taste not feel this product as per name
2.0,January,2023,neutral,"This toothpaste is normal as Colgate, no any taste cloves and fressness. MRP is 20 and seller give 20 no any discount."
1.0,October,2023,neutral,Bad no clove taste
3.0,June,2022,positive,Buy small size to get freshness still last
3.0,June,2021,positive,Good Freshness & rest ok ok but bit higher powerful. Tooth problem starts due to more power small crack in between or tooth ?? break in to pieces.
3.0,July,2022,neutral,Jo dikhta hai vaisa nahi tha
1.0,September,2023,negative,Quality is very low
3.0,February,2022,positive,Bat quality
3.0,February,2022,positive,Ok
2.0,July,2022,neutral,"I am a big fan of Dabur products. But this was not upto it. No freshness, no flavour although it does clean. But I'm going back to Meswak."
3.0,October,2021,positive,Just about okay. We can use it for daily use.
3.0,May,2021,negative,May not be suitable for everyone so kindly ask your doctor first whether you can use the same or not
3.0,August,2021,negative,Same taste like colgate ?? clove extract is missing from toothpaste
3.0,September,2021,positive,Good butFreshness not stay for hoursFavour just good
3.0,July,2021,positive,"good but nothing new, same as old white paste, no flavour of clove."
3.0,June,2021,positive,Good in quality and also goof for use. It was far better than Colgate
1.0,September,2023,positive,
3.0,July,2021,positive,Dabur Red toothpaste is more effective than this
2.0,November,2022,positive,Economical
3.0,July,2021,neutral,Normal taste and no best result.very liquid lite paste
3.0,June,2021,neutral,Lower portion was torn but I used any way.
3.0,June,2021,negative,Not so good compared to dabur red paste
3.0,May,2021,positive,"It was just ok type, not like meswak"
2.0,June,2022,neutral,The toothpaste is so tasteless and i don't feel like I brushed my teeth or not..
3.0,August,2021,positive,Smell is good
2.0,December,2021,neutral,I purchased it thinking I use vegan turmeric salt mix tooth powder so adding clove will help. I doubt its a vegan product. No symbol to suggest if not tested on animals
2.0,July,2022,negative,No use.It didn't fulfil the requirements of mine.Gums n teeth entirely changed
3.0,May,2021,positive,"Little  flavor  of clove,"
2.0,September,2022,neutral,Nothing beats Dabur Red paste. This is useless.
1.0,April,2023,neutral,"Don't expect this from DabarNo flavor of clove, no feel of cleansing after brushing teeth,instead I felt like an artificial essence of clove is used"
3.0,June,2021,positive,Ok ok..
2.0,March,2022,neutral,no feel of clove. just a jormal paste. it says flavour of clove oil in the pack
3.0,March,2021,positive,Paste is good but taste is very sweet
3.0,June,2021,positive,Ok
2.0,September,2021,neutral,By the name Clove it appears as natural. But It tastes chemicals the moment you put the brush in mouth. I don’t have a lab to test what it has. But Very Bad.
2.0,July,2022,neutral,Don't buy
3.0,February,2021,positive,Overall o.k.
3.0,February,2021,negative,Not so good..
2.0,April,2022,positive,I think there are better product by Dabar itself
3.0,March,2021,positive,Average
2.0,March,2021,negative,It is surely value for money but it is just like a common colgate white paste. As far as the flavour is concerned there is nothing like clove and honestly don't buy if you want that clove flavour.
1.0,November,2022,positive,"The toothpaste gets your attention for its supposed value for money. However, it doesn't contain any herbs. Other toothpastes are better. In fact Dabur itself has better true herbal toothpastes."
2.0,December,2023,neutral,"It's a cheap ordinary smell, doesn't smell clove at all. Nothing special cheap ordinary, think before buy if u fullfill u r requirements then buy."
2.0,January,2022,positive,I liked it ??
2.0,November,2021,negative,Not that good as dabur red paste
1.0,May,2023,negative,Not satisfied
1.0,October,2022,positive,Dabur ke naam pe ye bakvas product he..Bahut sugar and detergent he isme .Dabur red is best.
1.0,March,2023,negative,Bad product of money ????????
2.0,July,2021,negative,package was not good. Items are damged
1.0,March,2021,negative,I have been using dabur red toothpaste from past 10 years and really lime the clove flavour of that paste. When i saw this peoduct i thought it would have the clove flavour minus the red colour. Highly disappointed. Shameful to even call this as clove because it doent even have a hint of clove flavour.
2.0,September,2021,positive,Ordinary toothpast
1.0,April,2023,positive,Product is good
2.0,May,2021,neutral,"not much satisfied , not much flavour of clove"
2.0,July,2021,negative,Budget friendly..but taste not good
2.0,May,2021,positive,Quality is not as expected from such a brand like Dabur
1.0,January,2023,negative,not worth at all. Brand should seriously discontinue the same
1.0,March,2023,negative,worst
2.0,June,2021,negative,Wrong products
1.0,August,2021,negative,I Dislike this product as only sulphate taste is more it's just cheat for advertising they use sulphate Free as compared to Dabur Red paste this paste is of no use wastage of money
1.0,June,2021,neutral,Does not deserve even one star... No taste of clove no smell of clove... Toothache started after one week... Consulted dentist... Asked me change toothpaste... And rightly said... Problem ended after switching to another paste
2.0,June,2021,positive,Colgate in a new pack
2.0,May,2021,neutral,No flavour of cloves.
2.0,April,2021,positive,I don't like it's flavor it's too spicy
1.0,January,2023,neutral,No one can compete with Patanjali
1.0,July,2021,negative,It taste like it is made of only sugar. Sensation of clove can be feel while brushing but it's sweetness is really high. I bought it for my parents as they love clove smell but it was worst.
2.0,June,2021,positive,Average
2.0,November,2023,positive,
1.0,October,2022,positive,"Wrost product ever, dnt purchase the product"
1.0,May,2022,negative,Not worth to buy under the name of clove tooth paste.
1.0,March,2022,neutral,No flavour of clove atall. Its just a name given..the tulsi one also tastes the same
1.0,November,2021,negative,As the name suggests there is ZERO taste or feeling of CLOVE in the toothpaste. Don’t buy.
1.0,May,2021,negative,There is no clove taste or smell. No wonder it is so cheap.. This is really a bad product. I will never buy this again very disappointed
1.0,August,2021,positive,"Not even close to Promise toothpaste in terms of mouthfeel, freshness and taste"
1.0,August,2021,negative,It does not contain clove oil at all.... Very poor... Completely dissatisfied.
1.0,June,2021,negative,Not as per the brand nameNo fregwance no freshness.  Watse my money
1.0,May,2021,positive,"Was missing? Thank you for the Refund. Did take a bit of Time, used to prompt service from your side."
1.0,August,2021,negative,"Taste, flavour, freshness - everything is bad. Now Dabur has started compromising it's quality of products."
1.0,June,2021,neutral,Not at all what it shows on the pack. Wasted my money.
1.0,November,2021,negative,V bad no clove taste just as normal no long lasting fresness
3.0,January,2024,positive,Good paste which does not leave a sweet smell or taste in your mouth after brushing but it is very effective one
3.0,January,2024,positive,Ok
3.0,January,2024,positive,Nice
3.0,December,2023,negative,Good but not as good normal Dabur red toothpaste
3.0,November,2023,positive,Good product and nice quality value for money thanks..
3.0,July,2023,negative,"I have used Dabur Red Gel it for over 4 weeks now. I have found that It does not help in removing Tarter or reducing tooth cavity. It only provides for a fresh breath (At least in my case).I appriciated the taste of it however using for prolonged periods like 5-6 minutes will lead to a strong burning & stinging sensation in the mouth and inner Lip area.If you are looking for a toothpaste to fight tooth cavity and tarter buildup on gums, this toothpaste WILL NOT do the job.If you are looking for a herbal alternative for healthy teeth, instead try Himalaya Complete Care Toothpaste or Patanjali Dantkanti Advance."
3.0,September,2023,positive,
3.0,September,2023,positive,Ok ok hai
2.0,November,2023,positive,Packaging is ok but inside the box product was leaked and no seal
2.0,October,2023,positive,Ok ok
2.0,September,2023,negative,This toothpaste is very bad because not cleaned teeth. Toothpaste quality is very Dull.
3.0,June,2023,positive,Eavarege
3.0,January,2023,positive,?????? ??
2.0,July,2023,positive,Expensive
3.0,December,2022,positive,Good
2.0,May,2023,positive,Orginal Dabur Red Good this one not Good just ok Amazon Services Always Awesome I love Amazon
1.0,October,2023,negative,Not very in good in providing fresh breathe.Feels like no brushing even after one meal.
2.0,May,2023,positive,Will buy again if the scheme comes . value for money
2.0,May,2023,positive,It's ok ok but paste is good
3.0,July,2022,positive,Good Toothpaste but it has Less Foam for the Expectation. Value for money product. Good Price on Amazon...??
3.0,July,2022,positive,Happy with the product
3.0,August,2022,positive,Average Quality....
3.0,August,2022,positive,Good product
1.0,September,2023,positive,Check amount before buy. It might be costly.
2.0,September,2022,negative,"This offer is always available only on paste in large quantity, and if you buy bigger then it gets wasted more by children so there is not much benefit in this offer, please give the same offer on smaller size."
3.0,July,2022,positive,Average
1.0,July,2023,neutral,Toothpaste is of very loose consistency like a melting ice cream. No distinctive fragrance can be felt while using. feels like a diluted and flat product
2.0,December,2022,negative,Quality not good as expeted
3.0,March,2022,positive,Good
3.0,June,2021,positive,l always use this tooth paste & my family members.good for teeth
1.0,July,2023,negative,Highly disappointed
1.0,October,2022,positive,After buying one pair i found that Cartoon box and toothpaste outtercover was completely different one paste was ok with flavor and all. another flavour was completely different and stopped to use it
3.0,April,2020,positive,Foaming is less. Otherwise good.
1.0,December,2022,positive,As such paste is good but we were sold old batch of item
3.0,December,2018,positive,Nice product. I liked the dabur red without gel more than this one.
1.0,October,2022,negative,"Not same Quality like local Retail Store..... , Maybe Seller Give Bulk Order to Company........."
2.0,July,2021,neutral,It's is normal paste last upto 6 hours
1.0,October,2022,neutral,Defective product. I have applied for refund. But they not refunded.
3.0,July,2019,positive,Good
1.0,December,2022,positive,Product demage item is good
1.0,October,2022,positive,
1.0,November,2022,negative,Waste of Money
1.0,December,2022,negative,bad product
2.0,April,2018,negative,I bought this one as ayurvedic concerned. After brush the effectiveness of the paste is very low. Even it doesn't last for 4 hrs too. I think the primary version was much much better than this gel one. Suggest to not buy .
