Stars,Month,Year,Sentiment_label,Review_text
<<<<<<< HEAD
3.0,August,2023,positive,Good
1.0,February,2024,positive,Very hard and rough bristles
1.0,February,2024,negative,Brush is very hard.
1.0,January,2024,positive,Very hard
1.0,January,2024,negative,"The bristles are hard, not soft.Disappointed with my buy and I bought 8 toothbrushes, sadly!!"
1.0,February,2024,positive,
3.0,August,2022,negative,"Wishing few weeks, it looses smoothness and its effectiveness.That’s the reason they give you four because it does not last good."
1.0,September,2023,positive,Didnt like quality. Received hard bristle in packaging of soft bristle
1.0,November,2023,positive,Bad quality
1.0,March,2023,negative,"These toothbrushes are far from soft. There isn't 1 part of this toothbrush that is soft.For those of you with sensitive gums or teeth, I would not recommend this. I was completely shocked at how hard this product was. I had to give the rest of the pack away, and now I'm searching for an ACTUAL soft toothbrush. I'm quite disappointed with Oral B."
3.0,June,2022,positive,Good
3.0,January,2022,neutral,"Not at all durable, but the bristles are soft"
3.0,June,2021,negative,The side rubber-bristles are hard.The bristles are not as soft as i would like it to be.
2.0,March,2021,negative,I had used it once before but it had cups in between which used to support the bristles. This time the toothbrush didn't have the 'cups' in between the bristles and within a month of use bristles jave lost their shape.
3.0,October,2020,positive,Average
1.0,August,2022,neutral,It's not a soft tooth brush.. Very hard surface.. You might be get a bleeding while brushing.. Don't buy it
1.0,November,2022,positive,Very hard bristles..purchased seeing good reviews..I started bleeding from gums
3.0,July,2023,negative,Its super hard bristles and it hurts when you brush and its really painful to the gums not a good product
3.0,September,2019,positive,Very hard material
1.0,November,2022,neutral,Product is not received as per order picture
1.0,May,2022,negative,Received with damaged packing. Bristles of one brush are damaged & not fit for use.
1.0,December,2021,negative,"Oral b has to know the meaning of softness, gums starts to bleed. Now I use these brush to clean my bike chain"
1.0,October,2022,negative,Very poor quality
3.0,February,2017,positive,"Helpful in keeping the teeth clean from plaque, tartar, and discoloration but does not last long!"
3.0,October,2016,neutral,It's ok but not great. Better options are available in OralB so go for that.
1.0,July,2022,positive,Too much hard
2.0,August,2019,neutral,Not as described.
3.0,October,2017,neutral,Don't buy
3.0,October,2017,positive,Good but so
1.0,September,2021,negative,Too hard that your teeth will come out
1.0,December,2021,negative,Brush is extremely hard not even fit for wasihing shoes
1.0,April,2022,positive,Waste money
1.0,June,2018,negative,One of the worst tooth brush I have ever used in my life..side bristles are very hard that whenever I brush it used to hurt my gums..because of these I developed gum bleeding ..now shifted back to Colgate sensitive which is very soft on gums and same way we can rub hardly on teeth where it does not hurt gums.
3.0,January,2018,positive,okay product.
1.0,November,2021,neutral,Doesn’t meet expectation. Gums start bleeding
1.0,October,2020,negative,It very bad product it price showing rs150  but actual price printed on the packet is rs70.
2.0,July,2019,positive,Average
3.0,January,2017,positive,Good buy in deal
3.0,April,2017,positive,Ordered soft received medium....
1.0,April,2021,negative,Dot bay because not soft is very hard
3.0,January,2017,positive,Good product
3.0,February,2017,positive,Good
1.0,May,2021,negative,It hurts the gums.
3.0,November,2016,positive,Good
1.0,January,2021,positive,Product is Okie
1.0,June,2020,negative,Severely damaged packaging . Not in useable position.
1.0,April,2019,negative,I have ordered for Buy 2 Get 1 free. But i received only 2 pcs. Free1 piece not delivered.
2.0,April,2017,negative,"Not a great one, average product."
1.0,May,2020,negative,Wrong product delivered..
2.0,January,2017,neutral,Bristles are not smooth enough
1.0,February,2018,negative,I didn't like this brush. Almost daily I get blood from my gums while brushing with this. This brush isn't soft.
1.0,October,2019,positive,Bakwas
1.0,March,2018,negative,Very bad quality. Got worn out on few uses. Doesn't seems original.
1.0,July,2018,positive,Bad quality
1.0,February,2018,positive,Within a month became 'phat k flower'
1.0,November,2017,negative,Charged Rs 170 against MRP of Rs 150
1.0,May,2018,positive,Superb
1.0,August,2017,negative,high cost but not good product
1.0,November,2017,positive,Very hard
1.0,December,2016,positive,Worst product i have ever bought in my life :(
1.0,August,2017,negative,Its too soft
1.0,August,2017,negative,not good.
1.0,April,2017,negative,Very very hsrd brisels
1.0,March,2017,negative,Very very hard bristles..
1.0,October,2016,negative,Very poor quality
1.0,August,2016,negative,very worst.
1.0,April,2019,negative,"Fraud,I have ordered 4 pieces for 119 as shown in the picture,But received 2 pieces pack,Too costly (("
1.0,July,2023,negative,"I ordered this considering it mentioned Extra-soft, but it is very hard and not comfortable to brush. Seems like a duplicate product to me. Not recommended to buy."
